"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"HLTF",5,0.0667816113981733,"no",-0.0485239306028273,0.047318627378487,4,0.000933948830588061,"no","",4.26372799345692e-19,"up","ABCB5 (enriched, 11% vs 4%), ACACB (enriched, 6% vs 1%), ACAN (enriched, 9% vs 3%), ADAM33 (enriched, 6% vs 0%), ADAMTS19 (enriched, 8% vs 2%), ADAMTS3 (enriched, 7% vs 1%), ADAMTSL3 (enriched, 10% vs 3%), ADGRB3 (enriched, 15% vs 5%), ADGRG4 (enriched, 20% vs 9%), ADGRL2 (enriched, 10% vs 3%), ADGRL3 (enriched, 15% vs 7%), AGMO (enriched, 8% vs 2%), ALMS1 (enriched, 9% vs 2%), ANK1 (enriched, 10% vs 2%), ANO5 (enriched, 7% vs 0%), APOB (enriched, 22% vs 11%), ASTN1 (enriched, 18% vs 8%), ASTN2 (enriched, 11% vs 4%), AXDND1 (enriched, 7% vs 0%), BOD1L1 (enriched, 13% vs 3%), C2CD3 (enriched, 7% vs 2%), C7 (enriched, 8% vs 2%), C9 (enriched, 6% vs 1%), CACNA1B (enriched, 7% vs 2%), CACNA1E (enriched, 17% vs 8%), CAMTA1 (enriched, 9% vs 1%), CAPN6 (enriched, 6% vs 0%), CCNB3 (enriched, 8% vs 2%), CDH12 (enriched, 13% vs 6%), CFAP54 (enriched, 7% vs 1%), CFAP61 (enriched, 8% vs 2%), CHL1 (enriched, 10% vs 4%), COL11A1 (enriched, 26% vs 8%), COL12A1 (enriched, 15% vs 5%), COL19A1 (enriched, 11% vs 4%), COL20A1 (enriched, 6% vs 1%), COL22A1 (enriched, 13% vs 4%), COL24A1 (enriched, 7% vs 1%), COL3A1 (enriched, 14% vs 6%), COL5A2 (enriched, 13% vs 3%), COL6A3 (enriched, 17% vs 6%), COL6A6 (enriched, 9% vs 1%), CREBBP (enriched, 7% vs 1%), CSMD2 (enriched, 17% vs 7%), CSMD3 (enriched, 44% vs 22%), CUBN (enriched, 13% vs 6%), DACH1 (enriched, 7% vs 1%), DCAF4L2 (enriched, 11% vs 3%), DCC (enriched, 8% vs 2%), DCDC1 (enriched, 12% vs 3%), DCHS2 (enriched, 11% vs 4%), DENND2A (enriched, 6% vs 0%), DMXL1 (enriched, 8% vs 2%), DNAH17 (enriched, 8% vs 2%), DNAH2 (enriched, 8% vs 2%), DNAH3 (enriched, 14% vs 5%), DNAI2 (enriched, 6% vs 0%), DZIP3 (enriched, 8% vs 0%), EPHB6 (enriched, 10% vs 4%), FAM47A (enriched, 11% vs 4%), FAM47C (enriched, 11% vs 4%), FAT2 (enriched, 10% vs 3%), FAT3 (enriched, 24% vs 14%), FAT4 (enriched, 19% vs 9%), FBN2 (enriched, 17% vs 8%), FER1L6 (enriched, 9% vs 3%), FLG (enriched, 29% vs 18%), FLG2 (enriched, 18% vs 6%), FMN2 (enriched, 12% vs 4%), FRMPD1 (enriched, 9% vs 2%), GABRG1 (enriched, 7% vs 2%), GALNT13 (enriched, 6% vs 1%), GRM8 (enriched, 11% vs 2%), HDAC9 (enriched, 10% vs 2%), HECW1 (enriched, 12% vs 4%), HEPHL1 (enriched, 6% vs 1%), HIVEP2 (enriched, 8% vs 2%), HMCN1 (enriched, 17% vs 8%), HRNR (enriched, 14% vs 6%), IGF2R (enriched, 8% vs 1%), ITIH5 (enriched, 6% vs 1%), KCNB2 (enriched, 11% vs 4%), KCNH7 (enriched, 8% vs 2%), KLHL1 (enriched, 10% vs 3%), KRAS (depleted, 21% vs 33%), LAMA2 (enriched, 15% vs 5%), LAMA4 (enriched, 9% vs 2%), LCT (enriched, 9% vs 3%), LPPR4 (enriched, 14% vs 4%), LRP4 (enriched, 7% vs 1%), LRRIQ1 (enriched, 12% vs 4%), LRRTM4 (enriched, 13% vs 2%), LTBP1 (enriched, 11% vs 4%), MACF1 (enriched, 12% vs 4%), MAN2A1 (enriched, 6% vs 1%), MAP2 (enriched, 11% vs 4%), MMRN1 (enriched, 11% vs 4%), MRC1 (enriched, 15% vs 4%), MSH4 (enriched, 6% vs 0%), MTUS2 (enriched, 8% vs 2%), MUC16 (enriched, 45% vs 28%), MUC17 (enriched, 23% vs 10%), MUC5B (enriched, 14% vs 5%), MYCBP2 (enriched, 9% vs 3%), MYH4 (enriched, 11% vs 3%), MYH7 (enriched, 13% vs 6%), MYO18B (enriched, 11% vs 4%), MYT1L (enriched, 10% vs 1%), NAV3 (enriched, 24% vs 11%), NBAS (enriched, 11% vs 3%), NLGN1 (enriched, 8% vs 2%), NOS1 (enriched, 7% vs 2%), NPAP1 (enriched, 21% vs 7%), NRAP (enriched, 8% vs 1%), NRXN1 (enriched, 19% vs 8%), OCA2 (enriched, 8% vs 2%), OR14K1 (enriched, 7% vs 2%), OR2A2 (enriched, 7% vs 1%), OR2B11 (enriched, 7% vs 1%), OR4C46 (enriched, 8% vs 2%), OR4N2 (enriched, 6% vs 1%), OR5T1 (enriched, 6% vs 0%), OTOA (enriched, 6% vs 0%), PALD1 (enriched, 6% vs 0%), PAPPA (enriched, 8% vs 1%), PCDH11X (enriched, 19% vs 7%), PCDH15 (enriched, 25% vs 9%), PCDH17 (enriched, 12% vs 5%), PCDH20 (enriched, 6% vs 1%), PCDHB2 (enriched, 9% vs 2%), PCDHB8 (enriched, 11% vs 2%), PCLO (enriched, 22% vs 9%), PCNT (enriched, 7% vs 0%), PEG3 (enriched, 15% vs 7%), PLG (enriched, 8% vs 2%), PRAMEF15 (enriched, 6% vs 0%), PREX1 (enriched, 9% vs 2%), PREX2 (enriched, 8% vs 1%), PRKCB (enriched, 7% vs 1%), PTPRB (enriched, 9% vs 3%), PTPRC (enriched, 8% vs 2%), PTPRD (enriched, 21% vs 9%), PTPRT (enriched, 14% vs 4%), PTPRZ1 (enriched, 13% vs 5%), PXDNL (enriched, 17% vs 8%), RAD51AP2 (enriched, 7% vs 1%), REG3A (enriched, 8% vs 2%), RELN (enriched, 17% vs 8%), ROS1 (enriched, 6% vs 1%), RP1L1 (enriched, 23% vs 8%), RYR2 (enriched, 43% vs 24%), RYR3 (enriched, 22% vs 10%), SAMD9 (enriched, 8% vs 2%), SCN2A (enriched, 10% vs 2%), SLC39A12 (enriched, 11% vs 4%), SLC9A4 (enriched, 7% vs 2%), SLITRK3 (enriched, 12% vs 4%), SORCS1 (enriched, 15% vs 6%), SP140 (enriched, 6% vs 0%), SPHKAP (enriched, 13% vs 5%), SPTA1 (enriched, 26% vs 15%), SRCAP (enriched, 11% vs 1%), ST6GAL2 (enriched, 10% vs 4%), STAB2 (enriched, 9% vs 2%), SZT2 (enriched, 6% vs 1%), TENM4 (enriched, 8% vs 2%), THBS2 (enriched, 9% vs 3%), THSD7B (enriched, 11% vs 4%), TNR (enriched, 20% vs 10%), TP53 (enriched, 39% vs 19%), TPO (enriched, 8% vs 1%), TRHDE (enriched, 8% vs 2%), TRIM42 (enriched, 6% vs 1%), TRIO (enriched, 8% vs 2%), TSHZ3 (enriched, 15% vs 6%), TTN (enriched, 56% vs 31%), UBR4 (enriched, 10% vs 3%), UGT2B11 (enriched, 6% vs 1%), UNC79 (enriched, 13% vs 5%), USH2A (enriched, 36% vs 22%), XIRP2 (enriched, 28% vs 15%), ZFHX4 (enriched, 34% vs 19%), ZFPM2 (enriched, 13% vs 4%), ZIC4 (enriched, 8% vs 1%), ZNF423 (enriched, 10% vs 3%), ZNF536 (enriched, 25% vs 10%)","CSMD3 (enriched, 15% vs 4%), DNAH9 (enriched, 6% vs 1%), MGA (enriched, 9% vs 3%), TTN (enriched, 13% vs 5%)",567
"NDUFC2-KCTD14",6,0.0668853837237342,"no",-0.0489087590421201,0.185092113951415,0,NA,NA,"",NA,NA,NA,NA,567
"MAT2B",5,0.0669332414291968,"no",-0.0265494554607016,0.0142442285171863,5,0.000102906326737484,"yes","",8.52664173193778e-05,"down","CDH10 (depleted, 9% vs 21%), DMD (depleted, 7% vs 18%), FLG (depleted, 17% vs 31%), LRP1B (depleted, 22% vs 37%), NEB (depleted, 4% vs 14%), NRXN1 (depleted, 8% vs 19%), PCDH15 (depleted, 11% vs 23%), RYR2 (depleted, 25% vs 42%), STAG2 (depleted, 0% vs 6%), TRIM51 (depleted, 2% vs 9%), TTN (depleted, 34% vs 53%), ZFHX4 (depleted, 19% vs 35%)","",567
"SPRYD4",5,0.0669332414291968,"no",-0.0986701685926123,0.009440395112546,5,0.99260241280971,"no","",3.67423313607778e-18,"up","","",567
"ZNF202",6,0.0672984448479995,"no",-0.0147308727294509,0.0561590223605923,5,0.00425751467126489,"no","",3.37551764513399e-14,"up","","",567
"MADD",6,0.0675902327228087,"no",0.00523869845890739,0.0437964888952959,5,0.531027264394687,"no","",0.744661591864088,"up","","",567
"CACNG8",5,0.0676441220497598,"no",-0.0272096610037056,0.0802616878972209,4,0.00144941732745163,"no","",0.266209747255212,"up","","",567
"SVEP1",5,0.0677461172771224,"no",-0.0752735775554619,0.0585051080502912,4,0.339478840780848,"no","",4.89025280329745e-27,"down","","LRRC7 (enriched, 7% vs 1%)",567
"SMAD1",6,0.0678983748918657,"no",-0.000363399531452475,0.0234626032186151,5,0.069984722955584,"no","",1.92630785041823e-08,"up","","",567
"WDR73",6,0.0679138088721319,"no",-0.051988556893548,0.123975721607648,5,0.854595255517304,"no","",2.28830422233715e-05,"up","","",567
