"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"BCLAF1",5,0.426295552331802,"no",-0.220066013653888,0.227914136566883,4,9.94104894894607e-05,"yes","AML_Act,CM_Act,ST_Act",0.976321636134146,"up","","",567
"NOMO1",5,0.426438074123683,"no",-0.0262063801931462,0.206123218177476,4,0.999575000690168,"no","",7.51245088222681e-24,"up","","",567
"NOMO3",5,0.426438074123683,"no",NA,NA,0,NA,NA,"",0.00260736998663975,"up","","",567
"CBLC",5,0.426485583368936,"no",0.0726888782310996,0.0393751331168222,4,0.355608487049867,"no","",1.8923072874952e-30,"up","","EGFR (depleted, 2% vs 9%), FLG (enriched, 6% vs 0%), STK11 (enriched, 17% vs 7%)",567
"SRD5A3",5,0.426723144426522,"no",0.011579550591959,0.0594732001877549,4,0.0122187929256136,"no","",1.87892664008598e-22,"up","","",567
"CLEC5A",6,0.426728246670257,"no",-0.0150399292452816,0.103762826288043,5,0.999699651140807,"no","",0.0284109296658386,"up","KEAP1 (depleted, 6% vs 21%)","STK11 (depleted, 2% vs 21%)",567
"GJD2",6,0.426771856552176,"no",-0.0430013430270385,0.100231609523224,5,0.971842340212725,"no","",0.023656482821364,"up","","",567
"ZBTB37",6,0.426771856552176,"no",-0.0147385522032662,0.0575903153271416,5,0.728389019625758,"no","",0.0128618887211396,"up","","",567
"SKIV2L",6,0.426902691324608,"no",0.0245313069368027,0.0755567785587791,5,0.117918032940138,"no","",6.42827005147822e-26,"up","","",567
"ABCA4",6,0.42712076633772,"no",-0.0706521270778209,0.225608504916624,5,0.228734231244516,"no","",5.37641228361833e-09,"up","","EGFR (enriched, 9% vs 2%), STK11 (depleted, 4% vs 19%)",567
"RNF4",6,0.427906012053321,"no",-0.0382964259782941,0.0695176007679707,5,8.5761449361028e-05,"yes","",9.22921824481219e-19,"up","","",567
"LOC647859",5,0.427911318053593,"no",0.067918588484945,0.159903274198724,0,NA,NA,"",NA,NA,NA,NA,567
"OCLN",5,0.427911318053593,"no",0.000390416084136881,0.035572457169594,5,0.49058040342516,"no","",0.0451717150112416,"up","","SMARCA4 (depleted, 1% vs 7%), STK11 (depleted, 7% vs 16%)",567
"LOC100271836",6,0.428080548244196,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,567
"LOC440354",6,0.428080548244196,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,567
"LOC595101",6,0.428080548244196,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,567
"LRP1",5,0.428576960908942,"no",-0.106888325143965,0.149189069167395,5,0.316338467001571,"no","",1.50738859587263e-13,"down","","",567
"C18orf8",6,0.428735178376874,"no",0.0539283124169615,0.0871817188811799,0,NA,NA,"",NA,NA,NA,NA,567
"ARMC7",6,0.428866126931059,"no",-0.0736567996281324,0.112517164610889,5,4.16562927459709e-08,"yes","",0.372808073911639,"up","","",567
"PDE6B",6,0.428909778111519,"no",-0.0578635230678814,0.136052888415791,5,0.143999734702528,"no","",0.328142802167555,"up","","STK11 (depleted, 6% vs 17%)",567
"WNT16",6,0.428997082963042,"no",-0.0647808625236814,0.084731182065344,5,0.961338717667686,"no","",0.00184010709085052,"up","","",567
"OR1C1",5,0.429195226683489,"no",-0.0287712212198994,0.148356811590316,4,0.753412136893292,"no","",0.240348389663754,"down","","",567
"U2AF1L4",5,0.429242792282197,"no",-0.264474501565366,0.172904764507244,4,0.153837936420123,"no","",0.000705017499291144,"up","","",567
"RBM34",6,0.429259017406515,"no",-0.0752248843972668,0.137381644428894,5,0.0142652867227727,"no","",2.15731796849431e-12,"up","","",567
"HIGD2A",6,0.430044998802685,"no",-0.256978789789036,0.248839891956522,5,0.00721608127793997,"no","",0.0129200188915735,"up","AHNAK2 (depleted, 7% vs 19%), COL12A1 (depleted, 4% vs 15%), SLITRK6 (depleted, 2% vs 11%)","",567
"OR2W5",6,0.430176021528402,"no",0.0508659151437919,0.0340864601241007,0,NA,NA,"",0.636454767937426,"up","ALPK2 (enriched, 21% vs 4%), ANO7 (enriched, 17% vs 2%), BOD1L1 (enriched, 33% vs 7%), CHST1 (enriched, 17% vs 2%), DNAH8 (enriched, 33% vs 8%), DTNA (enriched, 21% vs 3%), GABRA2 (enriched, 25% vs 4%), GAD2 (enriched, 17% vs 2%), MAGEC1 (enriched, 29% vs 7%), MYH13 (enriched, 29% vs 6%), PCDHA3 (enriched, 25% vs 5%), SALL3 (enriched, 21% vs 4%), SORCS1 (enriched, 33% vs 9%), SRRM2 (enriched, 21% vs 3%), THSD7A (enriched, 33% vs 6%), WDR7 (enriched, 21% vs 3%), ZNF292 (enriched, 21% vs 3%)","",567
"PROCR",6,0.430394409049019,"no",0.00118058138053605,0.206410368874625,5,0.19387136297615,"no","",0.000963461516186451,"down","","",567
"NCSTN",6,0.430525451326053,"no",-0.0498285239700197,0.0130870833969525,5,0.601750577981219,"no","",1.5992682139664e-09,"up","KEAP1 (enriched, 20% vs 7%), KRAS (enriched, 36% vs 19%)","",567
"PPME1",6,0.430612816904354,"no",0.0178246614235382,0.11787158971615,5,0.000297834790048175,"no","",8.74824761891925e-31,"up","LAMA4 (enriched, 10% vs 1%), PKHD1L1 (enriched, 15% vs 5%), TNN (enriched, 16% vs 5%), TTN (enriched, 53% vs 34%)","",567
"HMHA1",6,0.43070018572621,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,567
"ATP7B",5,0.43090818409763,"no",-0.0671352071460191,0.0260563036719005,4,0.956373572509241,"no","",0.026497661961115,"up","PRDM14 (depleted, 0% vs 7%)","STK11 (enriched, 19% vs 5%)",567
"GABRP",5,0.431098587705981,"no",-0.212014368124611,0.137681257750338,5,0.938434909847939,"no","",0.104114913986215,"up","","",567
"ANKS6",6,0.431137078348808,"no",0.0508196938146524,0.0509131112951167,5,0.000603668157591926,"no","",0.104285909791585,"up","","",567
"MSH4",5,0.431289006167128,"no",0.075038561360412,0.150040396602944,4,0.847297563577538,"no","",0.326477764140424,"up","","",567
"ITGA6",6,0.431311857962693,"no",-0.0348729989953945,0.0514603215261528,5,0.267531816476279,"no","",3.44435506316775e-09,"down","","",567
"CHUK",5,0.431574661619157,"no",-0.0166853718829334,0.0205992062002915,5,0.680117014616914,"no","",0.00665190386464216,"up","","STK11 (enriched, 17% vs 7%)",567
"PRF1",6,0.431705159013914,"no",0.0980377382144433,0.0279906649136353,5,0.552961311721331,"no","NSCLC_LoF,ST_LoF",7.41117439951896e-16,"down","","",567
"ADRA1A",5,0.431907968252966,"no",-0.0121692244145966,0.08385538540719,4,0.999990351635775,"no","",4.91831035026169e-32,"down","KCNB2 (depleted, 3% vs 13%), SLC39A12 (depleted, 2% vs 12%), TTN (depleted, 33% vs 54%)","",567
"JMJD4",6,0.432098524733883,"no",0.0327574470593844,0.0323274341646871,5,0.5212125324541,"no","",1.98994394261825e-23,"up","","TP53 (enriched, 27% vs 13%)",567
"C11orf24",5,0.432146071958495,"no",-0.0864940222709429,0.094346978656367,4,0.918765200587624,"no","",1.07325893439933e-27,"up","CDH10 (enriched, 21% vs 8%), FAM135B (enriched, 19% vs 7%), GPR158 (enriched, 13% vs 3%), LRP1B (enriched, 38% vs 21%)","",567
"PHF1",6,0.432185948083771,"no",0.0075629831528204,0.113468990053348,5,0.204684977485748,"no","",0.729537337373682,"up","","",567
"NME6",5,0.432336571385178,"no",-0.0523789839453965,0.0612959597046778,4,0.107944294479653,"no","",1.6378145602747e-11,"up","","",567
"ASH1L",5,0.432860519911814,"no",-0.0587573456671942,0.0598037867235416,4,0.0258254477451682,"no","",0.00177136078315386,"up","","",567
"ASCL3",6,0.432972900468268,"no",-0.0132469813918119,0.049269946762577,5,0.997221896102695,"no","",0.210408119942974,"up","","",567
