"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"RNF111",22,0.857182638191498,"no",0.0680297189373592,0.0996660153309438,17,0.998769113508314,"no","",8.71635970399407e-07,"down","TP53 (depleted, 16% vs 26%)","TP53 (depleted, 10% vs 19%)",986
"TIE1",21,0.857222697540529,"no",-0.095362453424919,0.149562892206148,17,8.5330592832407e-05,"yes","",1.97233501839713e-40,"down","PIK3CA (enriched, 37% vs 26%)","CDH1 (enriched, 19% vs 6%), TP53 (depleted, 9% vs 20%)",986
"ALDH8A1",21,0.857281198567109,"no",-0.0372615110021427,0.0920560638197108,17,0.123766013174685,"no","",0.00102679469454376,"up","","MAP3K1 (enriched, 10% vs 4%)",986
"CARD11",18,0.857314370837156,"no",-0.0131772902997656,0.125478714467009,13,0.0024801868489317,"no","BLY_Act,COREAD_Act,DLBCL_Act,HC_Act,LY_Act,NHLY_Act",9.36038986072123e-06,"up","","CDH1 (enriched, 19% vs 7%), GATA3 (depleted, 7% vs 18%)",986
"ADAMTS10",21,0.857965536528646,"no",-0.070531942834777,0.1000464502176,17,0.00114121870555194,"no","",2.19915010532428e-06,"down","PIK3CA (enriched, 37% vs 26%)","CDH1 (enriched, 19% vs 7%), GATA3 (depleted, 9% vs 15%)",986
"CYP3A7-CYP3AP1",22,0.858027018951566,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,986
"SP140",21,0.858143333188166,"no",-0.0937893365750564,0.106499830766037,17,0.999944808316615,"no","MM_ambiguous",1.53209416759259e-13,"up","CCDC168 (enriched, 5% vs 1%), TP53 (enriched, 25% vs 17%), XIRP2 (enriched, 5% vs 1%)","GATA3 (depleted, 9% vs 16%), MAP3K1 (depleted, 4% vs 10%), TP53 (enriched, 18% vs 11%)",986
"OR2T5",19,0.85834631816899,"no",-0.0966175017283643,0.194268202566797,16,9.45500521101793e-11,"yes","",0.935685610831702,"up","","",986
"EPB41L1",19,0.858462239764091,"no",0.0130066822373088,0.0914177117390639,16,0.943172795041931,"no","",1.82969795058944e-08,"down","PIK3CA (enriched, 38% vs 25%)","MAP3K1 (enriched, 10% vs 4%), TP53 (depleted, 11% vs 18%)",986
"RDH14",21,0.85848962521982,"no",NA,NA,17,0.999984918406263,"no","",3.1582985923816e-12,"up","TP53 (depleted, 15% vs 26%)","",986
"LIPH",18,0.858640857328065,"no",NA,NA,16,0.998150826818886,"no","",0.0373068629409429,"up","","MAP3K1 (enriched, 9% vs 5%), TP53 (depleted, 11% vs 18%)",986
"PGK2",23,0.859070279098253,"no",-0.0876627464722944,0.148766765914,18,0.999999989146489,"no","",2.54621999566242e-10,"up","","",986
"HACE1",22,0.859319166269099,"no",-0.0321237557480098,0.0693181419243631,18,0.931440419373988,"no","",4.11555822043573e-22,"down","","",986
"WDR19",22,0.85942678857976,"no",0.0230693063608502,0.170593454212796,18,0.969856594709972,"no","",1.1571000789364e-24,"down","CSMD3 (depleted, 2% vs 5%), HUWE1 (depleted, 2% vs 5%), MDN1 (depleted, 2% vs 5%), MUC17 (depleted, 2% vs 6%), PIK3CA (enriched, 39% vs 24%), SYNE1 (depleted, 3% vs 7%), TP53 (depleted, 10% vs 32%), USH2A (depleted, 4% vs 8%), ZFHX4 (depleted, 2% vs 7%)","CDH1 (enriched, 19% vs 7%), GATA3 (enriched, 18% vs 7%), MAP3K1 (enriched, 11% vs 3%), TP53 (depleted, 6% vs 23%)",986
"RASD2",22,0.859640264507996,"no",0.0198556502751534,0.129684643552852,18,0.000118651327799808,"yes","",0.319179878324291,"up","TP53 (enriched, 27% vs 15%)","ARID1A (depleted, 1% vs 5%), GATA3 (depleted, 9% vs 16%), MAP3K1 (depleted, 5% vs 9%), TP53 (enriched, 20% vs 9%)",986
"ANKRD20A1",20,0.859673498238222,"no",NA,NA,0,NA,NA,"",1.57111940539151e-16,"down","","",986
"ATF6B",21,0.859914889200128,"no",0.0712645311535773,0.119783525762042,17,0.000157341858445159,"yes","",1.08752659094321e-23,"up","","",986
"FERMT1",23,0.859963356340732,"no",-0.0522298349753145,0.104109416278668,18,0.702749006118295,"no","",9.13934508846389e-21,"down","","GATA3 (depleted, 9% vs 15%), KMT2C (depleted, 5% vs 9%), NCOR1 (depleted, 2% vs 5%), TP53 (enriched, 19% vs 10%)",986
"VSTM1",23,0.860137040572703,"no",0.0497585432375312,0.214719474991672,18,1.0000000027507,"no","",1.2032251773419e-05,"up","","",986
"TBC1D22B",20,0.860277176104038,"no",-0.0714809268154198,0.144705186739662,15,0.000842573360842516,"no","",0.0049126010831728,"up","TP53 (enriched, 27% vs 15%)","GATA3 (depleted, 4% vs 21%), MAP3K1 (depleted, 5% vs 10%), NCOR1 (depleted, 2% vs 5%), TP53 (enriched, 19% vs 9%)",986
"OR1C1",19,0.860365893764727,"no",-0.00886025341714984,0.178503309806517,16,0.97508602649566,"no","",0.601766349481281,"up","","CDH1 (enriched, 18% vs 10%)",986
"IMPDH2",21,0.860368022051628,"no",0.0125833258059005,0.14781012544998,17,1.39233795284839e-10,"yes","",0.0254981850461299,"down","TP53 (depleted, 14% vs 27%), TTN (depleted, 14% vs 21%), USH2A (depleted, 4% vs 9%), XIRP2 (depleted, 1% vs 5%)","CDH1 (enriched, 16% vs 10%), GATA3 (enriched, 16% vs 9%), TP53 (depleted, 10% vs 19%)",986
"VPREB1",22,0.860581639203988,"no",0.00359729059219076,0.223287458939376,17,0.78587065365973,"no","",0.794841219437042,"up","","",986
"SOCS6",18,0.860919869592409,"no",-0.14089344653076,0.196200353397441,15,0.8554760844774,"no","",0.270742004061732,"up","CCDC168 (depleted, 1% vs 5%), OBSCN (depleted, 2% vs 5%), PIK3CA (enriched, 36% vs 27%), TP53 (depleted, 16% vs 26%)","",986
"CLDN15",22,0.861045745253397,"no",-0.0173414096964693,0.271236334931227,17,0.999955789098049,"no","",1.8085441360723e-13,"down","","CDH1 (enriched, 20% vs 6%), PTEN (enriched, 6% vs 2%)",986
"ARHGEF26",20,0.861359334675922,"no",0.168774725958182,0.153202294384002,16,0.846063982247673,"no","",0.113057817565287,"up","","",986
"PLCE1",20,0.861424672989243,"no",0.093114657776568,0.0835954442385078,16,0.368790451187309,"no","",2.8185983635946e-21,"down","","",986
"DGKG",17,0.861602169902181,"no",-0.015541896117959,0.150662207377363,16,0.999640385727558,"no","",8.56572418939835e-20,"down","TP53 (enriched, 26% vs 16%)","GATA3 (depleted, 8% vs 17%), TP53 (enriched, 19% vs 10%)",986
"B4GALNT3",20,0.861699857899851,"no",-0.0308346986119267,0.153794442659668,16,0.274359185551401,"no","",4.07019031791662e-18,"up","","",986
"DUSP8",22,0.861851327555056,"no",0.0797845743148269,0.133749350036069,17,0.00128833614851283,"no","",0.0179890471752527,"down","","GATA3 (enriched, 18% vs 7%), MAP3K1 (depleted, 4% vs 10%)",986
