"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"ATP2A1",31,4,0.282066787363317,"no",-0.0604001101955894,0.167529409595976,-0.11714620908183,0.36432798772978,20,1,NA,NA,"","yes",0.0167910447761194,536
"PRDM1",30,2,0.282129824513713,"no",-0.155012361035906,0.170977828099142,-0.359111599558798,0.0767373613554685,19,1,NA,NA,"DLBCL_LoF,MM_LoF,NHLY_LoF,PRAD_LoF","yes",0.00932835820895522,536
"RPP40",31,3,0.282245044163044,"no",-0.611694487086016,0.271867012378171,-0.889362462774913,0.292723443976235,20,1,NA,NA,"","yes",0.00559701492537313,536
"AAMP",34,2,0.282295022588246,"no",-0.602609293221529,0.427793767681826,-0.535595043243464,0.17047686740201,21,1,NA,NA,"","yes",0.00373134328358209,536
"BRD3",26,3,0.282517765508253,"no",0.0934641897585177,0.0940194788122556,-0.045702761498721,0.0315288038857218,16,1,NA,NA,"","yes",0.00746268656716418,536
"PTPN4",32,2,0.28604822603965,"no",0.073961463001128,0.149523710536698,-0.0472865846371621,0.0592400416641099,21,0,NA,NA,"","yes",0.0186567164179104,536
"SHC1",30,2,0.28677465168272,"no",-0.00779553626137067,0.168370001802743,-0.0772253953525244,0.0485641339544046,20,0,NA,NA,"","yes",0.00186567164179104,536
"SCARA3",26,2,0.286827876279484,"no",0.0619607473241779,0.107458077789178,0.0060882807787365,0.0429438772378627,17,0,NA,NA,"","yes",0,536
"RRN3",32,2,0.287802511311356,"no",-0.275678058575443,0.288917776612318,-0.0109154560621615,0.127968527441674,22,0,NA,NA,"","yes",0.00559701492537313,536
"ARAP3",29,2,0.287963763192218,"no",-0.0367775880391823,0.220725405178832,-0.229596330521512,0.139985904648149,17,1,NA,NA,"","yes",0.0167910447761194,536
"PRKCZ",32,2,0.28796490957735,"no",-0.0576713655663944,0.136802097836554,-0.114069577062632,0.0297923846129679,22,0,NA,NA,"","yes",0.00559701492537313,536
"COL1A1",28,2,0.28883936779584,"no",-0.00517709917818993,0.0852801758450276,-0.0377845359843493,0.0293340891034842,17,1,NA,NA,"CESC_Act,CM_Act,GBM_Act,MM_Act,SBCC_Act","yes",0.0111940298507463,536
"ZBTB1",32,2,0.289065219187375,"no",0.0322602301134449,0.209256176827747,-0.0782673632647263,0.138959583942145,20,1,NA,NA,"","yes",0.00373134328358209,536
"LAIR1",30,2,0.289870575094299,"no",0.0497086391593967,0.107564450910854,0.0289907656115022,0.0457488882623027,21,1,NA,NA,"","yes",0.00373134328358209,536
"PTEN",28,4,0.290321484295314,"no",0.0792058015262283,0.139410492288617,-0.0357344708612491,0.0459005429941653,17,2,0.360379690876255,"no","BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,ST_LoF,THCA_LoF,UCEC_LoF,UCS_LoF","yes",0.0466417910447761,536
"SLC23A2",26,4,0.290544184912777,"no",0.0884678798632847,0.129769166734468,0.066631873720944,0.21493584853277,18,1,NA,NA,"","yes",0.00932835820895522,536
"FARP2",30,4,0.29059744156734,"no",-0.00852308734850263,0.19262690971892,0.0216181435797935,0.031353410245463,18,2,0.409513548281952,"no","","yes",0.00373134328358209,536
"ZBTB4",26,2,0.290890901022123,"no",-0.196453772274566,0.254759766099491,-0.125988396297987,0.0900955986613912,19,1,NA,NA,"","yes",0.00186567164179104,536
"SOX4",34,2,0.290900281528968,"no",-0.168526567430448,0.348920485008532,-0.397848848715863,0.287227568638946,22,0,NA,NA,"","yes",0,536
"SLC38A10",30,4,0.291442670732272,"no",-0.0799446315610765,0.158629895508318,-0.0821725429427466,0.0657541259811228,20,2,0.743769951144494,"no","","yes",0,536
"FGFR3",30,2,0.292629433278938,"no",0.0184322635539238,0.124186451410606,-0.0793148231048337,0.0103807886852497,18,1,NA,NA,"BLCA_Act,HNSC_Act,LUSC_Act,MESO_Act,MM_Act","yes",0.00186567164179104,536
