"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"HCN1",5,2,0.778578991253095,"no",0.0732680286563251,0.119498701889575,-0.0093433798296525,0.109620144783051,4,0,NA,NA,"","yes",0.0245283018867925,530
"PPP2R2A",10,2,0.78013264693944,"no",-0.0180819599653849,0.12685958318497,-0.0222629535093079,0.0662025946154551,5,2,0.526995903916203,"no","","yes",0.00943396226415094,530
"TEP1",8,2,0.780646912945826,"no",-0.0757893008770066,0.251963964032616,0.155715741583034,0.248166327181619,4,1,NA,NA,"","yes",0.0113207547169811,530
"ZBTB41",7,3,0.780845835545996,"no",-0.057263728207263,0.150888974555263,0.0569722034550445,0.0572927534887934,5,2,0.45509259606688,"no","","yes",0.030188679245283,530
"GRAP",4,2,0.783820878904283,"no",0.0185495782038102,0.0772035809063928,0.090966808479754,0.098453455990367,0,0,NA,NA,"","yes",0.00188679245283019,530
"KCNH7",7,2,0.788051735744536,"no",-0.0438576955521304,0.0962400191785309,-0.0407166588674506,0.127055083969536,5,1,NA,NA,"","yes",0.0339622641509434,530
"PPIG",6,2,0.788103855206599,"no",-0.125653498164892,0.110396274690931,-0.0815476110292458,0.00345958593800814,3,2,0.162934852875507,"no","","yes",0.0415094339622641,530
"TBC1D21",7,2,0.78847155164384,"no",0.0858870036580255,0.159384826300808,0.149249086746722,0.101208298447139,6,1,NA,NA,"","no",0,530
"COL16A1",5,2,0.790127472732523,"no",-0.0212526076154491,0.0752810449431744,0.148035178131257,0.159285587301302,4,2,0.707389428523165,"no","","yes",0.0132075471698113,530
"FANCM",7,3,0.792484904770202,"no",-0.141473065523386,0.232116929116865,-0.0863611911905683,0.230368063868867,4,2,0.330279951575944,"no","","yes",0.0528301886792453,530
"NRIP1",7,4,0.797441693787686,"no",0.0871586350413273,0.170600607482509,0.151729378625729,0.129835106227144,4,2,0.188177311823165,"no","","yes",0.0471698113207547,530
"SETBP1",7,2,0.805320703366927,"no",0.0548374898713905,0.0604235931549099,0.143700419763554,0.029129057936814,4,2,0.563219585485677,"no","ACC_Act,PCPG_Act,RCCC_Act,THCA_Act","yes",0.0113207547169811,530
"COL3A1",7,2,0.80567991296096,"no",-0.010563677393384,0.0419301224565291,0.0728067099328822,0.106102926953688,4,2,0.385382976644487,"no","","yes",0.0150943396226415,530
"CHD9",6,2,0.806329674670401,"no",-0.0968444200720742,0.190684612279016,0.0512361275416333,0.0794257120877717,4,1,NA,NA,"","yes",0.0528301886792453,530
"WDTC1",4,6,0.807071487458605,"no",-0.0877374903565883,0.205917219109398,0.0547628493999455,0.231557267946398,3,3,0.500285177708329,"no","","yes",0.00188679245283019,530
"SHPRH",6,2,0.808020663947419,"no",0.0219255489019672,0.150932033399096,-0.0504460004359999,0.0766774590271271,4,1,NA,NA,"","yes",0.0490566037735849,530
"KIAA0195",5,2,0.812484044088789,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0132075471698113,530
"CHST4",7,2,0.81250633185047,"no",-0.06365507148346,0.211696247931839,-0.104984231627308,0.153279206802535,5,2,0.498056627959623,"no","","yes",0.00943396226415094,530
"NFRKB",6,4,0.822029035212957,"no",-0.0287391669497215,0.058632029515284,-0.00951700498451021,0.0495310359488209,4,3,0.629271839062736,"no","","yes",0.0320754716981132,530
"BAX",9,3,0.822832115199128,"no",-0.150462511663278,0.165294321004066,-0.124108463045654,0.063293552866717,5,2,0.306432483895371,"no","","yes",0.00188679245283019,530
"PKHD1L1",4,2,0.827233555438833,"no",0.0247727834912273,0.063802757725277,-0.00830901872428461,0.0175482000193911,4,1,NA,NA,"","yes",0.069811320754717,530
"CDKN1A",10,2,0.841804249852858,"no",-0.0240696039103702,0.199286454449264,0.0176802085435613,0.0785128225170012,5,2,0.145408182282089,"no","BLCA_LoF,HC_LoF,RCH_LoF","yes",0.00188679245283019,530
"PLEKHG1",9,2,0.842320039279507,"no",0.0683085895370376,0.028471204655814,0.0821347041271221,0.0227935337605428,5,1,NA,NA,"","yes",0.0226415094339623,530
"SALL2",7,2,0.845255289618839,"no",0.0018412044099015,0.0698072046436623,0.063071181879481,0.0052084242793956,4,2,0.937755931558341,"no","","yes",0.00754716981132075,530
"FOXC1",8,2,0.851053380020945,"no",0.00735572893280575,0.16530541214904,-0.0206547938731335,0.068450972903936,6,0,NA,NA,"","yes",0,530
"MACF1",4,2,0.855692321341817,"no",-0.0495051965895869,0.111952541608227,-0.0143566265542131,0.0018392971371316,3,2,0.660087237965158,"no","","yes",0.116981132075472,530
"MYSM1",9,2,0.855956325886591,"no",0.0629324657913232,0.166122712822974,-0.0580716392637912,0.0693702926205527,6,1,NA,NA,"","yes",0.030188679245283,530
"TEAD2",9,2,0.857646164189176,"no",-0.10695454194411,0.164537923420224,-0.15344121833978,0.15646860492724,4,2,0.662670279807355,"no","","yes",0.0169811320754717,530
"PHF3",8,3,0.862106167234298,"no",-0.2227197017523,0.28343650733113,-0.153817871916924,0.094221758667205,4,2,0.0391873313471272,"no","","yes",0.0528301886792453,530
"KANSL3",7,2,0.864399016293734,"no",-0.192198444578637,0.082624285140417,0.00831722166169535,0.0603338928461009,5,1,NA,NA,"","yes",0.0113207547169811,530
"HECTD1",9,2,0.868133611153928,"no",0.080484495520335,0.245031125662876,-0.00398656043845461,0.0940011397372323,7,0,NA,NA,"","yes",0.0339622641509434,530
"ULK1",5,2,0.869593624830645,"no",0.0114892291980341,0.0967280778441659,0.014598881280821,0.0329399141211506,3,2,0.385792241512778,"no","","yes",0.0169811320754717,530
"GJA1",6,2,0.872329615974763,"no",0.00440959148977954,0.125777748975627,0.0045400151943216,0.0191691741022932,6,1,NA,NA,"","yes",0.0113207547169811,530
"BLM",7,2,0.872558955928583,"no",-0.146679043597419,0.306859006415082,0.0766346243126544,0.00393780188679944,4,2,0.385128338916268,"no","","yes",0.0169811320754717,530
"KMT2C",7,2,0.875108409818633,"no",0.057318872550311,0.128639000674532,0.0331209523898714,0.0447845671640021,3,2,0.229003724268505,"no","ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF","yes",0.0943396226415094,530
"CALD1",6,2,0.8752619542699,"no",0.076267425006965,0.0661848793088797,-0.102287276744448,0.100410228474738,4,2,0.583428583885044,"no","","yes",0.0207547169811321,530
"AKAP8",9,2,0.876030549884178,"no",-0.00416782063067474,0.125225754766909,0.089677209669986,0.145318551433258,4,2,0.344924925799841,"no","","yes",0.00566037735849057,530
"BCAN",7,2,0.876810748246803,"no",-0.0283513317345089,0.133001483867974,-0.0537923289290677,0.0633746237141383,5,2,0.36598058039679,"no","","yes",0.00566037735849057,530
"CAND1",6,2,0.878328576945339,"no",-0.228571171708288,0.361397818921661,-0.135582388843159,0.0744395386678497,5,2,0.656331402469481,"no","","yes",0.0226415094339623,530
"ABCA13",4,2,0.879262754197234,"no",0.0969793934171848,0.0686248490214643,0.129893847880471,0.0422332313129133,3,2,0.604966914009192,"no","","yes",0.0641509433962264,530
"USP20",7,2,0.880044608055471,"no",0.0743417719450273,0.0793900555764217,0.0824253939723763,0.101664039499161,5,1,NA,NA,"","yes",0.00754716981132075,530
"ADAM23",9,2,0.885017245597154,"no",-0.118358120829616,0.149939743090346,-0.267513260645833,0.025284989748214,6,1,NA,NA,"","yes",0.0339622641509434,530
"TRIP12",8,2,0.885616307033055,"no",-0.200289059859692,0.107629351983161,0.0085044510680524,0.0421264867212256,4,2,0.844103857124315,"no","","yes",0.0377358490566038,530
"PTCH1",7,2,0.889153718710475,"no",0.00240031156807918,0.111027631709304,0.110122435970142,0.00728498731848551,4,3,0.440323673556723,"no","ESCA_LoF,MBL_LoF,MESO_LoF,OS_LoF,PIA_LoF,SBCC_LoF","yes",0.039622641509434,530
"WDR63",9,2,0.890405382858203,"no",-0.0213814234866267,0.0610362975746863,0.0251529976875257,0.0321699862306335,6,1,NA,NA,"","yes",0.0113207547169811,530
