"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"RPN1",4,0.753879828074001,"no",-0.0722018339748683,0.0868332062214927,4,1.98441849788077e-05,"yes",""
"PMEPA1",3,0.754053843291396,"no",-0.0409061694580239,0.0388401986906148,3,0.686031139789829,"no",""
"RFC5",5,0.754393692589252,"no",-0.344407318748047,0.030195424681483,5,2.98619969063991e-06,"yes",""
"ACAN",5,0.754471018975741,"no",0.141599588068332,0.0617610858456939,5,0.959349132899171,"no",""
"SMUG1",5,0.754471018975741,"no",-0.0440315291584853,0.236224155761042,5,0.00426172447691757,"no",""
"CDC42",5,0.754702924027345,"no",0.0117360513782148,0.656651753688227,5,4.02181518256216e-07,"yes",""
"RMI1",5,0.754934717862219,"no",-0.120390862685902,0.0769879640137607,5,1.63796595365893e-05,"yes",""
"ARL3",5,0.755050573051344,"no",0.134864124909033,0.065320286987372,5,0.735400804104075,"no",""
"LOC646214",5,0.755089185263574,"no",0.111661430064725,0.148204465262347,0,NA,NA,""
"AP2S1",5,0.755127794383187,"no",-0.136267531799285,0.0986622047307267,5,0.00012872087011558,"yes",""
"CEACAM6",5,0.755166400409859,"no",0.075563691134817,0.0848182462745046,5,0.00677176198917431,"no",""
"TLE3",5,0.755205003343265,"no",0.0070661591235636,0.0433136545733808,5,0.666357144361246,"no",""
"CALCOCO2",5,0.755629431362166,"no",0.0334829851180699,0.0934253167805151,5,0.72629485741497,"no",""
"LY6D",4,0.755766464816483,"no",0.0436231372457267,0.113717435406993,4,0.997045267714689,"no",""
"NLRP3",2,0.755822958947104,"no",-0.0305375664601931,0.0100304845642493,2,0.743029855908109,"no",""
"LATS2",3,0.755852135498095,"no",-0.00321142379983661,0.0439793016140589,3,0.178685294470328,"no","LUSC_LoF,MESO_LoF,VV_LoF"
"CCR4",5,0.755860779626571,"no",0.106634263422588,0.289471512350075,5,0.397847965580555,"no",""
"ESR1",5,0.75589932682566,"no",-0.0381059802568203,0.299662913981969,5,0.225866941391426,"no","BRCA_Act,LUSC_Act,OS_Act,SBCC_Act,UCEC_Act"
"ITGA9",4,0.756108719861278,"no",-0.0178773658478037,0.0336527328276343,4,0.00882175534982547,"no",""
"NPFFR2",4,0.756707094880284,"no",-0.00404642999179315,0.138444539682724,4,0.985567195414513,"no",""
"PTBP3",5,0.756708101541942,"no",-0.0429749771607797,0.151086527257495,5,0.251428477340808,"no",""
"EGR2",4,0.756749808106799,"no",-0.150522470969335,0.151103230408023,4,0.955774192026491,"no","CLL_ambiguous"
"CLEC12A",5,0.756900465159726,"no",-0.0362999382670436,0.152390290592881,5,0.497411992885074,"no",""
"ZC3HAV1",5,0.757054300115642,"no",0.00666746625959022,0.0845237272887861,5,0.397847965580555,"no",""
