"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"ARHGEF11",6,2,0.787572016289685,"no",-0.0623044414736924,0.0703180031110701,-0.140131952298498,0.120444909213325,4,2,0.578491234653074,"no",""
"SFT2D2",7,2,0.791245177525978,"no",0.0455793999347501,0.254178006404087,0.526862144944023,0.298568642730249,5,2,0.838139104103438,"no",""
"SOX13",6,3,0.794214457826098,"no",0.169013072751789,0.0747336971219013,0.265931012382836,0.111008196805351,4,3,0.256860585931551,"no",""
"AHCTF1",5,3,0.795911675136253,"no",-0.824146758458007,0.054456931543252,-0.745600909242412,0.277449263993218,3,3,0.51387597216158,"no",""
"ETNK2",6,3,0.799123192751668,"no",0.0932176976863486,0.122457209820639,0.103374856389871,0.188828226866633,4,3,0.443975691038182,"no",""
"MCL1",6,3,0.803584984499904,"no",-0.0467950396751245,0.467299333138105,0.313387106151236,0.428830280480007,4,3,0.362423799445781,"no",""
"RXRG",7,2,0.804203667919702,"no",-0.010112200082022,0.204859446584037,0.00463166405188925,0.0602178845623113,5,2,0.47540795399516,"no",""
"ELK4",6,3,0.809290596912729,"no",-0.00862426337631434,0.143773244895897,0.0406938124787139,0.189217597583123,4,3,0.426767874438077,"no",""
"ETV1",7,2,0.809438972781452,"no",0.0344575982395756,0.068786776439691,0.0345796795970266,0.127248782619268,6,1,NA,NA,""
"PPFIA4",6,3,0.810019151587689,"no",-0.0971923533530968,0.249249646792963,0.0746203117479877,0.13134159943132,0,0,NA,NA,""
"OR2G6",5,3,0.810518769677723,"no",-0.555829446518863,0.260467059279113,-0.208809442222397,0.194109629335692,3,3,0.680210398676878,"no",""
"OR2T2",5,3,0.815802623377249,"no",-0.0961264613539771,0.311176943665478,0.104839546000173,0.495087896841106,3,3,0.872373250403886,"no",""
"BLZF1",7,2,0.824716870056633,"no",-0.0114721815410065,0.0791176529003587,0.0865007032434937,0.0747926706914703,5,2,0.665736077243842,"no",""
"RFC5",7,2,0.824767372170884,"no",-0.745115007221487,0.382654795484346,-0.40044393501182,0.209516633888419,5,2,0.522515292285791,"no",""
"PKP1",6,3,0.827534992341299,"no",-0.080275459794384,0.0503779911708963,-0.0257910835289065,0.246840855295874,4,3,0.806248552793042,"no",""
"S100A11",6,3,0.832057593115278,"no",-0.0181747949420015,0.143477140760546,0.050087951438002,0.0492800116034907,4,3,0.395407826188364,"no",""
"GJA5",6,3,0.835189803409968,"no",-0.457028734356755,0.158886043125636,-0.269620832277766,0.209311223806784,4,3,0.395235614160718,"no",""
"KIRREL",7,2,0.835308214523789,"no",NA,NA,NA,NA,0,0,NA,NA,""
