"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"CD33",8,0.107433126763045,"no",0.157528200212883,0.133127211465694,6,0.0486718277679066,"no",""
"GTF2F1",9,0.107517763185502,"no",-0.142398605495137,0.320128895102643,7,0.999858241128258,"no",""
"OR2T1",3,0.107811237122077,"no",-0.0523138367226749,0.0848551073736091,2,0.757081375376225,"no",""
"GSTT1",3,0.108173323226063,"no",-0.0193124681012397,0.0771192348268876,0,NA,NA,""
"PTGDR2",9,0.108301428701063,"no",-0.1020951672277,0.05973688118387,7,0.0298822891545912,"no",""
"TMEM203",9,0.108318888439601,"no",0.189489946567225,0.054302602920244,7,4.40568427295673e-08,"yes",""
"ZFP36L1",9,0.108406216463199,"no",0.123564658066469,0.206172123381632,7,0.57630188405843,"no","BLCA_LoF"
"UBD",9,0.108493593377395,"no",0.0195930026268486,0.321531525127747,7,0.0643463254425062,"no",""
"KALRN",8,0.10852462729015,"no",0.0275241775944787,0.0872812189695562,6,0.72550705499901,"no",""
"LRIT3",8,0.108598903745045,"no",-0.0235348039295487,0.189053869943026,6,0.000149739820682226,"yes",""
"DLX4",8,0.108784748572702,"no",-0.155320121731252,0.268605338227583,6,0.478621467206102,"no",""
"CD79A",9,0.108791040692986,"no",-0.0822354307155704,0.123832924691084,7,1.10007113096611e-05,"yes",""
"BPTF",7,0.108791438088034,"no",-0.0420270816720462,0.455402051124348,5,0.997866788928133,"no",""
"CBS",9,0.10887863281892,"no",NA,NA,7,0.00658005976077247,"no",""
"CYP1A2",9,0.10887863281892,"no",0.0576075520179171,0.128649397877548,7,0.905187124847804,"no",""
"HEY1",9,0.108931211581735,"no",0.10826649338995,0.244140718184726,7,0.224142823743457,"no",""
"TMEM71",8,0.109063927615818,"no",0.0391763216657481,0.340798881287407,6,0.00132772250924851,"no",""
"FGL2",9,0.109141702824691,"no",-0.0451384416045765,0.0990839041706777,7,0.13739511469404,"no",""
"PYGO1",9,0.109510741095065,"no",-0.0329089827546893,0.10433436608258,7,0.000451755458508618,"no",""
"MECOM",8,0.109810822674819,"no",-0.0435908122998858,0.0956468015498639,6,0.000470394334178725,"no","BLCA_Act,CM_Act,DLBCL_Act,PRAD_Act,SBCC_Act,UCEC_Act"
"ARID1B",8,0.110035577409754,"no",-0.039815409763609,0.157827450698557,6,0.89763834092595,"no","BLCA_LoF,BRCA_LoF,COREAD_LoF,DLBCL_LoF,HC_LoF,HGG_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,PAAD_LoF,PIA_LoF"
"ALDOA",9,0.110127725501965,"no",-0.646126703930707,0.583515047122601,7,0.999999999966878,"no",""
"PECAM1",8,0.110166830691616,"no",0.0617101087524461,0.167879747048445,0,NA,NA,""
"HOXC5",9,0.110251410664826,"no",0.0697283163686551,0.186451884489484,7,0.903665294883987,"no",""
"RASGRP3",8,0.110918919483449,"no",0.140326630660465,0.235236351675159,6,0.00615730792181179,"no",""
"FBXO32",8,0.110937766870371,"no",-0.0978793686932594,0.304608079552159,6,8.35800044818313e-06,"yes",""
"SFT2D2",7,0.111097535696111,"no",0.0455793999347501,0.254178006404087,5,0.44426769866062,"no",""
"KLHL7",8,0.111182983510735,"no",0.0608725934538279,0.221596729423198,6,0.941095928245063,"no",""
"PKN2",8,0.111182983510735,"no",0.000237167112456625,0.0770227123282993,6,0.531243877471231,"no",""
"RBM45",9,0.111208786449415,"no",-0.0217813788153443,0.118975145058434,7,0.0690721984476218,"no",""
"TSHR",9,0.111529184764019,"no",0.102302911100361,0.0878189217658818,7,2.19502458740362e-05,"yes",""
"CCR2",8,0.111845034877487,"no",0.23385512778367,0.334126430775595,6,0.986903789547249,"no",""
"KCTD13",9,0.11185022017652,"no",-0.00350553662600251,0.27029913887003,7,0.0192952781902799,"no",""
"ITGB4",8,0.111920870020277,"no",0.0846567708802205,0.127909037069604,6,0.108880395676886,"no",""
"BTD",9,0.112225567163773,"no",-0.352970982681595,0.168583544576725,7,0.263147402782271,"no",""
"SNRPA",9,0.112368784821711,"no",-0.627708596332646,0.305774381605556,7,0.999854602832933,"no",""
"MTR",5,0.112509100700015,"no",0.0246156548282741,0.164365387972476,3,0.79814770811789,"no",""
"ACAP1",9,0.112565914874497,"no",-0.169371105946911,0.124244196166679,7,0.966914067306638,"no",""
"MUS81",9,0.112583847605391,"no",-0.0549073708734615,0.0636582772476436,7,0.997664580057196,"no",""
"NRL",9,0.112655598227002,"no",0.200936183835032,0.154193332866056,7,0.0133571357008196,"no",""
"SIRT1",9,0.112745330828846,"no",0.153009627766754,0.226352990398612,7,0.00922938994775457,"no",""
"RDX",8,0.112890865912876,"no",0.125598741609171,0.142493660247887,6,0.184864051856074,"no",""
"UBE2F-SCLY",9,0.112978866131271,"no",0.158485731376578,0.076740153546777,0,NA,NA,""
"WDR5B",9,0.112996844180654,"no",0.0957164007291326,0.153026332774383,7,0.822066530297992,"no",""
"TNIK",8,0.113158144980589,"no",-0.0924791919687014,0.167153351956421,6,0.081226563488464,"no",""
"ELAVL4",9,0.113374838615399,"no",-0.0262045991007915,0.29806852537325,7,3.52767249633956e-07,"yes",""
"OR5H6",8,0.113444996527207,"no",-0.183580671808274,0.180659392747509,6,2.61680442529277e-05,"yes",""
"PMVK",7,0.113723892622775,"no",-0.0647855007489382,0.143378155553354,5,0.999763109931696,"no",""
"BLM",9,0.113825966057742,"no",0.0156024141586827,0.244030553154901,7,0.995131926746948,"no",""
"CNST",5,0.114235094530193,"no",0.0579677274055072,0.330200057440671,3,0.0119221154748237,"no",""
