"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"PDE6C",5,0.721106455921315,"no",0.0439172002203961,0.0739838180790591,3,0.654165091295114,"no",""
"KLHL35",5,0.721353101388091,"no",-0.0191662696557331,0.210704309278242,3,0.047283645156512,"no",""
"AURKAPS1",4,0.721655455294476,"no",0.244970245221413,0.0750759721776132,0,NA,NA,""
"PTGER3",5,0.721722882060793,"no",-0.345856230986607,0.16000032764619,3,0.823565349033055,"no",""
"TENC1",5,0.722953855421346,"no",NA,NA,0,NA,NA,""
"MDH1",4,0.723019823785298,"no",-0.0336095665759792,0.232144388026695,2,0.00234060784814427,"no",""
"GPR1",5,0.723035831029731,"no",0.0950590395256933,0.052617898752782,3,0.012435627199919,"no",""
"ALS2",5,0.723158773480629,"no",-0.422512876002003,0.419382203251269,3,0.0169519702663593,"no",""
"KIF3A",5,0.723486496962624,"no",-0.269241485436929,0.122865012695226,3,0.529793096509042,"no",""
"PIAS4",5,0.723568399848532,"no",0.00106636015164172,0.129134894798893,3,0.656115956026547,"no",""
"PAK1IP1",5,0.723650291534024,"no",-0.856469510730343,0.358304721891519,3,0.999776748834823,"no",""
"METTL1",5,0.723814041290619,"no",-0.38121288197952,0.172505233537893,3,0.999015790642146,"no",""
"HIVEP3",4,0.724788958426715,"no",-0.208472120328161,0.428871543999987,3,0.555345102491182,"no",""
"FOXR1",5,0.72540824746002,"no",-0.00919043029467798,0.215399086671557,3,0.018364045523739,"no",""
"AKR1D1",5,0.725653130055899,"no",0.0398304669225604,0.0334879157808692,3,0.12007201983358,"no",""
"WSB2",4,0.726236700567249,"no",-0.18002143131519,0.149636114164129,2,0.863157945979315,"no",""
"LGALS12",5,0.726346412294959,"no",-0.153605332038231,0.028932696905452,3,0.139202146665596,"no",""
"LRG1",5,0.726876017982711,"no",0.0539911625902946,0.0395778828606121,3,0.036729082449796,"no",""
"GPR116",3,0.726957001979268,"no",NA,NA,0,NA,NA,""
"CELF5",5,0.726998166718684,"no",-0.146562504613369,0.0931185346593609,3,0.735816155662481,"no",""
"PLEKHG3",4,0.727229998358161,"no",-0.168956117631471,0.130278622585302,2,0.0797595464854983,"no",""
"ATM",5,0.727283081217792,"no",-0.0380034016057535,0.034588778012386,3,0.857008525215302,"no","BLCA_LoF,BRCA_LoF,CH_LoF,CLL_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HGG_LoF,LUAD_LoF,MM_LoF,NB_LoF,NSCLC_LoF,PAAD_LoF,PAIS_LoF,PRAD_LoF,RCCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCEC_LoF"
"VPS4B",5,0.727689860744628,"no",-0.383340472390831,0.133972930940748,3,0.890177843553326,"no",""
"CRIM1",5,0.727771182569676,"no",-0.00898668632784345,0.0154922685073332,3,0.52694677138339,"no",""
"ELK4",4,0.728086514091402,"no",-0.142859592217274,0.0427172741928593,2,0.000353602944221931,"no",""
"ACADM",5,0.728421347667955,"no",-0.0956106360977692,0.175591364273395,3,0.371970271975443,"no",""
"HSPA8",5,0.72874615688323,"no",-0.191333218503595,0.251707935020834,3,0.997256603366886,"no",""
"MRGPRE",4,0.729661062234205,"no",-0.358428517683797,0.314482445819039,2,0.81861332516148,"no",""
"CNOT6",5,0.729881550655144,"no",0.12952808570295,0.18521340694002,3,0.646329990720347,"no",""
"CES2",5,0.73016504877065,"no",-0.0263060323419815,0.0713723369169747,3,0.499351869007026,"no",""
"MAN1B1",4,0.730199936313067,"no",-0.105126732326058,0.172104017458966,3,0.0739913896853915,"no",""
"BRD2",5,0.731095553307496,"no",-0.0420555984353372,0.240152307646133,3,0.995577031703318,"no",""
