"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"GPR20",2,0.459742195891596,"no",0.273840984942434,0.154554977178419,1,NA,NA,""
"HIST1H1B",5,0.45985243700688,"no",0.102547328511472,0.114679500290999,3,0.964301578539148,"no",""
"PGC",5,0.460092670455745,"no",0.0671691896083804,0.268706461881856,3,0.847194938172572,"no",""
"ZBTB8B",5,0.460188767618876,"no",-0.267672397771772,0.24754857632864,3,0.798438889518569,"no",""
"MTRR",5,0.460525124620803,"no",-0.0541747577706549,0.158556277513952,3,0.705805691183619,"no",""
"TRAIP",4,0.4606305509174,"no",-0.347758652257592,0.100760292346905,2,0.00137910121389113,"no",""
"S100B",3,0.461120107820483,"no",NA,NA,1,NA,NA,""
"UBE2K",5,0.461294038530728,"no",-0.289254170621407,0.153896955826327,3,0.0856714766575096,"no",""
"KMT2D",3,0.461361024274739,"no",-0.141897352693549,0.182258634279373,1,NA,NA,"ACY_LoF,ALL_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,NB_LoF,NHLY_LoF,NSCLC_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCH_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,UCEC_LoF"
"PRODH",2,0.461366520277844,"no",0.000191861119021502,0.139588538861805,0,NA,NA,""
"WNT16",5,0.461438224893592,"no",-0.236327406482005,0.105592889986102,3,0.888797908604194,"no",""
"LGR6",4,0.461592860604753,"no",0.0893795909653079,0.17652217964461,2,0.967598917616509,"no",""
"PPP3CC",4,0.462929786114731,"no",-0.0344836635813649,0.0647968692003023,2,0.92889677672346,"no",""
"NACC1",5,0.46331306854147,"no",-0.00548537191799977,0.0951287535528493,3,0.109691332690078,"no",""
"GRK4",2,0.463614343968291,"no",-0.165683559460635,0.032694921769064,1,NA,NA,""
"WT1",4,0.464374151854654,"no",0.0122712389328875,0.0557186741834612,2,0.876899722944068,"no","ESCA_LoF,PAAD_LoF"
"MFSD4",4,0.464695188745633,"no",NA,NA,0,NA,NA,""
"PIK3CB",5,0.464755771806133,"no",0.0122766038231444,0.041366055979405,3,0.948886198870246,"no","BLCA_Act,GBM_Act,PRAD_Act"
"LIME1",5,0.465092464982943,"no",0.128296163121784,0.280487259410334,3,0.513738331906731,"no",""
"LGSN",4,0.465123274941142,"no",-0.322674256641942,0.123239670920377,2,0.86549872570749,"no",""
"ITGB2",3,0.465639013080891,"no",-0.0694457998453485,0.147245044921098,1,NA,NA,""
