"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ZNF3",11,0.381995182698902,"no",-0.0101925351046624,0.186560983063739,7,0.019665550922332,"no","","","",143
"CPS1",10,0.382076926396681,"no",0.095184021438327,0.246953503859338,7,0.971959413255225,"no","","","NPM1 (depleted, 3% vs 28%)",143
"NME1-NME2",10,0.382076926396681,"no",-0.152716307266851,0.223655798925776,0,NA,NA,"","","RUNX1 (depleted, 0% vs 18%)",143
"NME2",10,0.382076926396681,"no",0.10426713321651,0.320604821064088,6,0.0318212717663367,"no","","","",143
"ACVR2B",11,0.38259761720845,"no",-0.0300027349381737,0.330202434272201,7,0.996928493421346,"no","","","",143
"KBTBD13",10,0.382840898737038,"no",-0.0314602110074185,0.312299889335234,6,0.841246532449669,"no","","","",143
"ZNF638",11,0.383073418785099,"no",-0.0271911762361633,0.0961605902401378,7,0.00384493349072116,"no","","","",143
"RASGRP1",11,0.383549392042616,"no",-0.0696293375918472,0.110398472158766,7,0.0724360509534242,"no","","","",143
"SERPINB11",11,0.383549392042616,"no",-0.116146367724501,0.18012916450459,0,NA,NA,"","","",143
"RHEBL1",10,0.383904552245685,"no",-0.14751897172175,0.476923840929994,6,0.82351834265445,"no","","","NPM1 (enriched, 26% vs 5%)",143
"LOC649395",10,0.384037568791748,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"LDLRAD3",11,0.384216041770635,"no",-0.421896184532359,0.179527435743613,7,0.771948504337595,"no","","","",143
"IFT172",10,0.384303641630893,"no",-0.0862127730085545,0.24519360603619,7,0.0801379896154716,"no","","","",143
"RBM34",10,0.384303641630893,"no",-0.102316600505137,0.193848736298451,6,0.0381155519170253,"no","","","",143
"MGP",10,0.384603036801459,"no",-0.0597145115270739,0.0755642956125409,7,0.701394094778511,"no","","","",143
"GTF3A",8,0.385095313120571,"no",-0.0564774392329605,0.293045035739939,6,9.99598447581253e-05,"yes","","","",143
"ILF3",9,0.386013456423685,"no",-0.487924165670704,0.276082120849562,6,4.295144816282e-07,"yes","","","",143
"XAF1",9,0.386118612620882,"no",-0.192520768437543,0.430216947828447,7,0.187905552469291,"no","","","",143
"ADCY3",11,0.386408799887485,"no",0.0002495698992275,0.233282626218775,7,0.00333808053255506,"no","","","NPM1 (depleted, 3% vs 28%)",143
"NTM",8,0.386505011078381,"no",-0.0228234277918559,0.178569703406267,5,0.991881904429932,"no","","","",143
"SH2D6",11,0.387522423777687,"no",-0.2278480345572,0.419016471332342,0,NA,NA,"","","",143
"ATAT1",11,0.3876179192993,"no",-0.0334137760516467,0.123454049508689,7,0.0782270325697424,"no","","","",143
"SH3BP1",11,0.387968126095117,"no",-0.11940879913223,0.153912016764276,7,0.0115047734229991,"no","","","",143
"CAND1",11,0.388063652438632,"no",-0.355543644019811,0.291176187888399,7,3.84365885402203e-05,"yes","","","",143
"KCTD17",11,0.388318421555913,"no",0.0533010371368922,0.185852171773856,7,0.703246192067989,"no","","","",143
