"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"NKX2-1",8,2,0.300125050397233,"no",-0.0576368047352332,0.108361992345169,-0.0251328123016134,0.0439330066905557,4,1,NA,NA,"LGG_ambiguous"
"SEMA6C",5,4,0.30336901962604,"no",-0.0379310504656177,0.143404243837002,0.0751353833353279,0.0862585628642825,3,2,0.215678996754899,"no",""
"OR2T29",7,3,0.304856016224353,"no",NA,NA,NA,NA,3,2,0.474433009694889,"no",""
"OR2T5",7,3,0.304856016224353,"no",-0.0928841802058132,0.272798397054173,-0.054023227852068,0.144586931145417,3,2,0.48454444344173,"no",""
"PDGFRA",6,2,0.305066700672394,"no",-0.0357577573003671,0.0675303677994911,-0.126192941327808,0.0421127906605879,2,1,NA,NA,"GBM_Act,HGG_Act,LGG_Act,LUSC_Act,PIA_Act"
"S100A16",7,3,0.30623828381638,"no",0.179642870065639,0.236617447436493,0.080117319617945,0.175134549462223,3,2,0.341739150866753,"no",""
"FOXG1",7,2,0.308126283933583,"no",-0.00763987233521425,0.136747248334017,0.0143826400594545,0.0231826504124912,3,1,NA,NA,""
"PLEKHG4B",6,4,0.310187458840941,"no",-0.114443833954048,0.0358590136081337,-0.18023127645226,0.093323028266419,2,3,0.626555403384957,"no",""
"TRIP13",8,2,0.312784133135434,"no",-0.211964699684561,0.128653159203038,-0.238760872746903,0.117241541425732,4,1,NA,NA,""
"NFASC",8,2,0.313292150843458,"no",0.0330457228994632,0.302796796848104,0.0318095244961679,0.0729510954305521,4,1,NA,NA,""
"OR2W5",8,2,0.313471534124301,"no",-0.0522306521240481,0.479370381816699,0.0395612961434074,0.0143065407326803,0,0,NA,NA,""
"MEF2D",7,3,0.314619473196459,"no",0.00949099622500721,0.143181415317101,0.0261831682158262,0.0424727899992733,3,2,0.523050807950431,"no",""
"CA10",8,2,0.316797887904619,"no",-0.286971823248,0.25216854614118,-0.746444140091216,0.339802563881144,5,0,NA,NA,""
"TRIB2",8,2,0.319611153001453,"no",-0.0667075846534525,0.231822796596684,-0.0964399456456073,0.108292974793165,4,1,NA,NA,""
"VPS72",6,4,0.32189477813445,"no",-0.225730216877112,0.0757028839255003,-0.23177021694385,0.180523779283765,3,2,0.541644319047183,"no",""
"FERD3L",8,2,0.322767507516893,"no",0.0466657075225807,0.261957881435145,0.116161955939124,0.191709327052104,3,2,0.568744436512002,"no",""
"SKP2",5,4,0.326095223370605,"no",-0.593594042287942,0.207780840547731,-1.44914996213169,1.95029534166278,2,2,0.568549787903549,"no",""
"RXFP4",7,3,0.327432077047232,"no",-0.276484198814556,0.394216528712465,-0.0418798406957898,0.225455309658063,3,2,0.560902078159578,"no",""
"SOX11",8,2,0.328416658629691,"no",-0.0353438549164106,0.0865710316413758,-0.180088014402823,0.137165419910561,4,1,NA,NA,""
"GRB14",6,2,0.331868674879779,"no",0.220775974166064,0.40396906903691,0.153303172838068,0.0833063401045697,3,0,NA,NA,""
"S100A2",7,3,0.340114907126053,"no",-0.277212866480474,0.103569528426898,-0.274119682731212,0.0897934698012745,3,2,0.3282618359602,"no",""
"ROCK2",8,2,0.340526379772604,"no",0.168761797190608,0.390942048568094,0.0594354742754195,0.0178953798558378,4,1,NA,NA,""
"IL7R",6,4,0.346826676190763,"no",-0.0724560943658299,0.214089926672639,0.00951093382994013,0.122964650235908,3,2,0.45538920465765,"no","ALL_Act,ESCA_Act,HC_Act"
"ELAC2",7,2,0.34745085899448,"no",-0.220653863676368,0.131786646377602,-0.128672372650656,0.278996602721714,4,1,NA,NA,""
"GPR52",8,2,0.35186301186548,"no",0.0421135751039564,0.35652384781925,0.0580240565643536,0.156095732867686,3,2,0.586941296999595,"no",""
"ATP1A4",7,2,0.352387184183675,"no",0.147411104581423,0.156084552921102,-0.0559257240181836,0.140932182884709,3,1,NA,NA,""
"ITGA10",7,3,0.352663119330945,"no",-0.0803251788474118,0.165500327683113,0.428846037429839,0.196431327903585,3,2,0.416800738921096,"no",""
"SPO11",8,2,0.357920313133206,"no",-0.225261969158854,0.166494573957434,-0.099851763831963,0.0545147883134729,3,2,0.624792773150923,"no",""
"HRH3",8,2,0.358754870670525,"no",-0.237653481284633,0.237910310797641,-0.195231810074887,0.216640030317741,3,2,0.542689105422371,"no",""
