"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"STK17B",5,0.929106206055459,"no",0.258230020712294,0.155599830123448,1,NA,NA,"","","",37
"ARL17A",3,0.929483290215602,"no",-0.197510173345186,0.0992009687859277,0,NA,NA,"","","",37
"ARL17B",3,0.929483290215602,"no",0.266005502474021,0.275522867507093,0,NA,NA,"","","",37
"ZNF92",5,0.929998698355874,"no",0.0598506668133411,0.0656192947092946,1,NA,NA,"","","",37
"ITLN1",5,0.930706071015479,"no",-0.294381538849157,0.048819465397829,1,NA,NA,"","","",37
"FRMD6",4,0.930792005221584,"no",-0.0914887071520348,0.15651491063898,1,NA,NA,"","","",37
"TIMM50",5,0.93079214985703,"no",0.0794429376262706,0.269645908168496,1,NA,NA,"","","",37
"GJA1",5,0.930947240733349,"no",0.512166143763246,0.395604836321334,1,NA,NA,"","","",37
"PPARA",5,0.931082431980997,"no",-0.32302742656996,0.176674437640315,1,NA,NA,"","","",37
"ERBB4",3,0.931396137610169,"no",-0.319073566241211,0.0794384591813631,1,NA,NA,"BLCA_LoF,BRCA_LoF,ESCA_LoF","","",37
"MBD5",5,0.9315452079607,"no",-0.0534927010597872,0.130408866804637,1,NA,NA,"","","",37
"CHRNA6",5,0.931698924251861,"no",-0.19153546447147,0.179885245384943,1,NA,NA,"","","",37
"ALKBH1",5,0.931950918819756,"no",-0.0313837472012908,0.118681251276956,1,NA,NA,"","","",37
"TTK",5,0.932183622018514,"no",-0.868727798267133,0.318741436986736,1,NA,NA,"","","",37
"OMD",5,0.932195476871312,"no",0.00193084165538796,0.24741343102085,1,NA,NA,"","","",37
"SLAMF8",5,0.932368013868088,"no",0.0171914646445584,0.0634782135921844,1,NA,NA,"","","",37
"SLITRK3",5,0.932563781525284,"no",0.143469652944771,0.14765262179299,1,NA,NA,"","","",37
"MCOLN2",5,0.932582698939652,"no",0.101947579335628,0.16862099810468,1,NA,NA,"","","",37
"MCHR1",5,0.932725649212873,"no",0.0769286488485777,0.227517105708134,1,NA,NA,"","","",37
"GUK1",5,0.933281943419745,"no",-0.602786542960093,0.320889183405702,1,NA,NA,"","","",37
"CHN2",5,0.933496861628709,"no",-0.154706663263964,0.416714167661008,1,NA,NA,"","","",37
"EIF3H",5,0.933533081923754,"no",-0.548142233330877,0.312074291924232,1,NA,NA,"","","",37
"KIAA1967",4,0.933617825979229,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"FBXW9",5,0.933847210937383,"no",-0.582206091250383,0.361651193230435,1,NA,NA,"","","",37
"KCTD10",5,0.933945961619463,"no",0.119204268179597,0.303045156690345,1,NA,NA,"","","",37
"PRDX1",5,0.933954050278894,"no",-0.120012369239191,0.11708768905215,1,NA,NA,"","","",37
"OLFM2",5,0.933971571690176,"no",0.354397578379524,0.519899539133308,1,NA,NA,"","","",37
"ANKRD29",5,0.933982669275453,"no",-0.284245662802193,0.298327196929853,1,NA,NA,"","","",37
"TLCD1",5,0.934066362666762,"no",-0.0080269548104092,0.354043738738215,1,NA,NA,"","","KMT2D (enriched, 50% vs 5%)",37
"CAND1",5,0.934152496143704,"no",0.10260476653688,0.602595741328716,1,NA,NA,"","","",37
"NTN5",5,0.934165593616102,"no",0.351367711339882,0.225124808896969,1,NA,NA,"","","",37
"IQGAP3",4,0.934188375394879,"no",0.167840905479485,0.255073530430136,1,NA,NA,"","","",37
