"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"FOXK1",8,2,0.313264035280454,"no",0.00125565905737574,0.0400742508507816,-0.0166548227079215,0.166288379619549,8,2,0.575853027494228,"no","","yes",0.0078740157480315,508
"ARHGAP20",8,2,0.328033585358279,"no",-0.00860809657540071,0.0885306430177158,0.0268235470713963,0.0417231331182477,8,2,0.471521593531432,"no","","yes",0.0118110236220472,508
"ATP2A2",8,2,0.330291575175259,"no",-0.315693815243932,0.148699990307475,-0.495788144494213,0.261708473779148,8,2,0.489127371166696,"no","","yes",0.0078740157480315,508
"PKD1",8,2,0.331007379834641,"no",0.0920845439082363,0.096759025170033,0.024250199821782,0.056997755212355,8,2,0.42007492001873,"no","","yes",0.0255905511811024,508
"LRP1B",6,3,0.33304696798579,"no",0.0754992908747628,0.0704072694159223,0.0568222825656396,0.0411835379964963,6,3,0.781976677505969,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","yes",0.145669291338583,508
"KMT2E",7,2,0.334871869659311,"no",-0.115752873141713,0.0729187175186987,-0.0306789706346236,0.0742316547513635,7,2,0.947394932783713,"no","","yes",0.0196850393700787,508
"CACNA1A",8,2,0.351589152577764,"no",0.0675294800820098,0.0659598710038601,0.0651336533940824,0.0121766540881904,8,2,0.464536664748857,"no","","yes",0.015748031496063,508
"ADCY1",8,2,0.362607022656871,"no",-0.0826506231912824,0.0980452927782563,-0.229897513971344,0.0273455529043894,8,2,0.792606312010961,"no","","yes",0.0413385826771654,508
"PCDH8",8,2,0.383635746799563,"no",-0.018379626965792,0.190853572937388,0.0161428960270443,0.0533336692163099,8,2,0.67943351100898,"no","","yes",0.0177165354330709,508
"RAB3IL1",8,2,0.403344397536605,"no",0.00844866598467915,0.126188408680856,0.0383645483953071,0.0466360823767639,8,2,0.467127801029753,"no","","yes",0,508
"PDE6H",8,2,0.421998398459376,"no",0.0910947672392272,0.0916327517105013,0.131612664106788,0.203387621411812,8,2,0.512533693515487,"no","","no",0,508
"SEMA3C",7,2,0.430466733910962,"no",-0.150873264475645,0.10038102797216,-0.143446367098256,0.0837633463077407,7,2,0.239158677360637,"no","","yes",0.0118110236220472,508
"GLI3",8,2,0.469833678455799,"no",-0.081040028141338,0.177963550357194,-0.166463264809332,0.122508855458682,8,2,0.228834039039739,"no","","yes",0.0177165354330709,508
"ZFPM2",6,3,0.475792337276116,"no",-0.0563245790729942,0.165223310207266,-0.0100548171742306,0.0374783318574562,6,3,0.18834409174628,"no","","yes",0.00196850393700787,508
"DHX34",8,2,0.476168608518132,"no",-0.230938230142285,0.182365728424597,-0.209855812420435,0.00862811769470551,8,2,0.209076661759902,"no","","yes",0.0118110236220472,508
"CELSR1",8,2,0.491880210873237,"no",-0.0222928792628252,0.109608113278848,-0.0903469953815823,0.0923160597560387,8,2,0.57106212535509,"no","","yes",0.0295275590551181,508
"JMJD8",8,2,0.50038595987555,"no",-0.0138438706415328,0.171584063826032,-0.00831935610406048,0.258408492254805,8,2,0.171384992382051,"no","","yes",0.00196850393700787,508
"FIGN",8,2,0.502933269290196,"no",0.104473932192532,0.0850791163003645,0.0792065850465584,0.0783995654519356,8,2,0.608958400547535,"no","","yes",0.0216535433070866,508
"TEX2",8,2,0.503033915825255,"no",-0.0603965429724288,0.164424275352422,-0.0410512645689241,0.00200657422252635,8,2,0.44215777565684,"no","","yes",0.0137795275590551,508
"IBTK",8,2,0.504823929619231,"no",0.0274075387387942,0.0981572605583221,0.0772632884524223,0.137447339790299,8,2,0.148531592680294,"no","","yes",0.0137795275590551,508
"HSP90B1",8,2,0.507672481151287,"no",-0.162208494609099,0.142408202365225,-0.0719205337213761,0.0295139782553138,8,2,0.694587340038049,"no","","yes",0.00984251968503937,508
"VAV3",7,2,0.512652606879475,"no",0.113877996458565,0.0674732074165776,0.0949826146948399,0.0530522403038661,7,2,0.366812850262761,"no","","yes",0.00393700787401575,508
"CELF5",8,2,0.524347074493013,"no",0.0562685376910577,0.0739793311261498,0.0493735822520042,0.0283300939318526,8,2,0.341843404613758,"no","","yes",0.00393700787401575,508
"ADCY3",8,2,0.52548271637396,"no",0.0267023875729532,0.0915156028843518,0.0252392647786912,0.0648854864262308,8,2,0.532548202468983,"no","","yes",0.00590551181102362,508
"EIF2AK1",7,2,0.527305961827076,"no",-0.0243556196298894,0.0338633475446358,0.0423966157542586,0.0152882878773919,7,2,0.158433312276042,"no","","yes",0.0118110236220472,508
"C3AR1",8,2,0.52907991268236,"no",-0.156169438630381,0.110741016356131,-0.0991268988984042,0.0944024061043188,8,2,0.850484583590192,"no","","yes",0.0078740157480315,508
"CHUK",8,2,0.536958529242753,"no",0.0658259546108666,0.207569186548457,0.00926459182905275,0.0343589724958629,8,2,0.168348594413215,"no","","yes",0.00984251968503937,508
"COL20A1",7,2,0.54766931164679,"no",0.0908693928695269,0.0615063368176987,0.0131172849076888,0.00177649943695815,7,2,0.513760693214795,"no","","yes",0.00393700787401575,508
"AHI1",8,2,0.554703262904014,"no",-0.0171025224005563,0.115911169650151,-0.0327735601798968,0.130527174964622,8,2,0.238465554375091,"no","","yes",0.0118110236220472,508
"ABCG8",7,2,0.559622538668289,"no",0.0238014623108133,0.113456666557711,0.0333634424385322,0.0139757043713156,7,2,0.543584203371134,"no","","no",0.015748031496063,508
"CYP2C8",8,2,0.578726986976664,"no",-0.0549840093787378,0.126226612026981,0.015406962845545,0.0241213641815919,8,2,0.736393362285621,"no","CM_LoF,MESO_LoF","yes",0.0078740157480315,508
"LAMA5",8,2,0.59246794573858,"no",-0.0573351950711383,0.10696847757648,-0.0948030038392914,0.0467795893693146,8,2,0.260886521527791,"no","","yes",0.0196850393700787,508
"NR5A1",7,2,0.597350117778967,"no",0.0985273171697972,0.0921650726666175,0.0622945940352102,0.00797307937060569,7,2,0.3249180703782,"no","","yes",0,508
"FASN",7,2,0.601507806480781,"no",-0.0559721206340755,0.195389083098073,-0.0779999066495335,0.00667542914924595,7,2,0.468393949419596,"no","","yes",0.0177165354330709,508
"MARK4",8,2,0.606935908475373,"no",0.00252021736689366,0.128145770904287,0.000592393371348102,0.0785622427177663,8,2,0.655264171047614,"no","","yes",0.0078740157480315,508
"MITF",8,2,0.607139370598798,"no",0.0637820108879053,0.0455816546805457,0.105455834878377,0.0159894571240567,8,2,0.559663834951091,"no","","yes",0.0078740157480315,508
"MACF1",8,2,0.617008499182306,"no",-0.055429608777147,0.0362806644670412,0.0647064509693658,0.0332616978243613,8,2,0.693984638940606,"no","","yes",0.0551181102362205,508
"CNTNAP2",8,2,0.622354158050683,"no",-0.154917038687603,0.0922342511572583,-0.149501049423495,0.065268188414978,8,2,0.424572372800641,"no","","yes",0.0374015748031496,508
"AFP",7,2,0.631707674917207,"no",-0.016163440582571,0.120305139393753,0.0312270804505241,0.0203942354218663,7,2,0.217458517575792,"no","","yes",0,508
"WFIKKN1",8,2,0.645389270821835,"no",-0.101440893269926,0.0724407921978418,-0.0560842087106005,0.0857201156716155,8,2,0.636604341315005,"no","","yes",0.00393700787401575,508
"HLX",8,2,0.650115294329292,"no",0.0158200130187961,0.150817614209022,0.0814562976843121,0.145036504740135,8,2,0.415305958444468,"no","","yes",0.0078740157480315,508
"ROS1",8,2,0.65437546237342,"no",0.0425419969084472,0.133849991708186,0.113894209421544,0.0401528396309521,8,2,0.716671103392527,"no","","yes",0.0452755905511811,508
"FBLN7",8,2,0.657697271067158,"no",-0.147053169092092,0.0688000698119479,-0.0665773503058741,0.0580701968864709,8,2,0.742728815589301,"no","","yes",0.00196850393700787,508
"PEX1",7,2,0.689937706494853,"no",-0.0083101082361984,0.10777842647192,0.0635994198261463,0.0517801772697037,7,2,0.487480591725249,"no","","yes",0.0196850393700787,508
"PKN2",5,2,0.707254618456058,"no",0.0282994336771032,0.0388159192608992,-0.000950875766532087,0.000697240992156843,5,2,0.790136893716962,"no","","yes",0.0078740157480315,508
