"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"MMP27",7,3,0.726050992340363,"no",0.0600583488271021,0.0873481886084408,0.0774631565217591,0.0264900800847627,7,3,0.0979482570820688,"no","",0.838295413095433,0.0444874274661509,517
"KDM2A",5,5,0.72833764869243,"no",0.0147673440374336,0.149518096898095,0.0166744749126525,0.113967480568893,5,5,0.527948890101571,"no","",1.08739998724297e-13,0.058027079303675,517
"TSNARE1",8,2,0.728973368457826,"no",0.114687648219276,0.0948127878153228,0.0754675819945866,0.0312351142921434,8,2,0.528082058808203,"no","",5.80202955466875e-07,0.0793036750483559,517
"REXO4",8,2,0.731954445855172,"no",-0.0308285449889654,0.103961686213721,0.0236258286566855,0.134913333593176,8,2,0.446663589544598,"no","",0.00344582754748627,0.00773694390715667,517
"ST6GAL1",8,2,0.734289301126218,"no",-0.0231620611306391,0.132953837262726,0.0254718990356286,0.0105893381006651,8,2,0.524441562896994,"no","",0.021414713291163,0.141199226305609,517
"P2RY6",7,3,0.738313365952518,"no",-0.0840504725187161,0.114454917960009,-0.103563178501458,0.0357880906918027,7,3,0.201545358989158,"no","",3.15576356234636e-05,0.0406189555125725,517
"RAB6A",7,3,0.74195412592933,"no",-0.208342249849949,0.196953073668579,-0.0416854205769201,0.222137383382006,7,3,0.481679935271014,"no","",2.53375802056568e-09,0.0367504835589942,517
"TMEM123",7,3,0.743799508422794,"no",-0.155578604887842,0.0926890474849049,-0.071458613784023,0.0954046670397355,7,3,0.0761267137322138,"no","",2.46272303901263e-11,0.0502901353965184,517
"DCAF13",8,2,0.745173069164719,"no",0.0169170779521911,0.106947232503045,0.103598249796438,0.0138047132487885,8,2,0.338662477178056,"no","",1.24291990161915e-06,0.0406189555125725,517
"FAT3",6,2,0.745548281961643,"no",0.0625890973635887,0.115127940992121,0.0554331123197968,0.0262872568558552,0,0,NA,NA,"BCNET_ambiguous,BRCA_ambiguous,CLL_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HNSC_ambiguous,LUSC_ambiguous,PAAD_ambiguous,PRAD_ambiguous,SBCC_ambiguous,ST_ambiguous,THCA_ambiguous",0.492332519025895,0.0193423597678917,517
"KCNK4",8,2,0.750111957408204,"no",NA,NA,NA,NA,8,2,0.482773319098942,"no","",0.651308893372659,0.0154738878143133,517
"C3orf43",8,2,0.753664516801806,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.129593810444874,517
"ACAP2",8,2,0.753898799803577,"no",0.0132493329340605,0.0130484994074642,-0.0113794915192128,0.0435174434484331,8,2,0.273504734203148,"no","",1.96463304210438e-13,0.131528046421663,517
"MYO7A",6,3,0.754352742082435,"no",-0.0871833996008997,0.110732071970634,-0.132234192691239,0.0772708886663974,6,3,0.337339458866249,"no","",0.0186619759454696,0.0309477756286267,517
"LCN1",8,2,0.754699847950036,"no",-0.100639579169714,0.148248749802787,-0.227788372459452,0.04555721306928,8,2,0.691027209358867,"no","",0.499364303943887,0.00967117988394584,517
"TRIO",7,2,0.75685390346842,"no",0.0221345585858717,0.100760445285794,0.130476562617402,0.00156446993266948,7,2,0.438295554885146,"no","",0.00786086235365383,0.0367504835589942,517
"AQP11",7,3,0.757240432239745,"no",0.0340248229682373,0.0910306794890331,0.107812990192659,0.0923466169306548,7,3,0.555767537801942,"no","",3.9640965626074e-08,0.0309477756286267,517
"PDE6G",8,2,0.757435886342912,"no",-0.0424053629248171,0.113631079281215,0.162397286333015,0.01140253481207,8,2,0.83832111391973,"no","",0.143314551501129,0.00386847195357834,517
"NDRG1",7,3,0.757534920916755,"no",-0.12098188153936,0.107120514743848,-0.139171314856766,0.115215244918746,7,3,0.181064311239547,"no","",9.55904377880599e-06,0.0735009671179884,517
"ANKH",8,2,0.758039199664119,"no",-0.140701757405923,0.0625517030652163,-0.20209810395904,0.140837074608392,8,2,0.810215063265218,"no","",0.00012739664414043,0.0386847195357834,517
"ARHGEF17",7,3,0.758332223591413,"no",0.035208261142127,0.0399046816773721,0.0595233579085416,0.129678557455319,7,3,0.123602136127345,"no","",1.63733693515202e-06,0.0406189555125725,517
"BTBD8",8,2,0.759457226314107,"no",0.0371063216046464,0.0918274022949956,0.0624454104909966,0.0379627663572253,8,2,0.333386376780339,"no","",NA,0,517
"WDR53",8,2,0.759846892300469,"no",0.0222822458994184,0.032213529744379,0.0128410830251354,0.100523016367165,8,2,0.389757318001679,"no","",4.12683576395206e-13,0.129593810444874,517
"POLD4",5,5,0.760241541503422,"no",0.0995650693998213,0.0719420336969828,0.11177920446157,0.017669731779115,5,5,0.294385206738627,"no","",3.07309853553918e-10,0.0560928433268859,517
"DPYD",8,2,0.761337078166696,"no",-0.0666169117475779,0.160770581118635,0.0369059531877456,0.0888357023674134,8,2,0.0842461010637539,"no","",0.232821843442132,0.00386847195357834,517
"KCNE3",8,2,0.761820648294374,"no",-0.0755292755259783,0.0600331567034948,-0.0966072914848524,0.0292377209578565,8,2,0.386776997128418,"no","",0.722716956412973,0.0309477756286267,517
"C1QTNF3",8,2,0.761995998565264,"no",0.0999041023704587,0.0705061068250448,0.0532076509346253,0.0730607484839828,8,2,0.3958770825361,"no","",0.293153375886848,0.034816247582205,517
"C1QTNF3-AMACR",8,2,0.761995998565264,"no",0.0753382024618612,0.148843644806262,0.155367287633,0.050558631606312,0,0,NA,NA,"",0.971016593547808,0.034816247582205,517
"WDR89",8,2,0.763901074250868,"no",-0.165919587337237,0.136592486709045,-0.110127024630172,0.104443791113851,8,2,0.63772353237384,"no","",2.61531621910929e-05,0.011605415860735,517
"ARHGAP29",8,2,0.764057988901498,"no",-0.0952109191828816,0.115343064104907,-0.122484643160353,0.153320468624936,8,2,0.233861878725197,"no","",NA,0,517
"ARAP1",5,4,0.765436113786097,"no",-0.0429892420128473,0.101174461187855,-0.0955350591846268,0.0378254373971016,5,4,0.22979503884406,"no","",4.60438666223694e-14,0.0502901353965184,517
"VAV3",7,2,0.768430502535537,"no",0.113877996458565,0.0674732074165776,0.165768143418091,0.017733288419385,7,2,0.566847981029621,"no","",NA,0,517
"NUMB",8,2,0.769928780236601,"no",0.0521808219566406,0.0746379839850274,0.138864437587473,0.0570969954802421,8,2,0.287760215559786,"no","",0.013946618188597,0.00386847195357834,517
"RSF1",5,3,0.770069205670914,"no",-0.0430040339588133,0.0444642458456852,-0.0384349358889804,0.0647122063648006,5,3,0.367500744831667,"no","",4.33866357611266e-07,0.034816247582205,517
"TM4SF19",8,2,0.773103015266033,"no",-0.000269202784466301,0.3005318491599,0.163507531960353,0.0867286040989797,8,2,0.662130978454449,"no","",0.0208372452282882,0.129593810444874,517
"TM4SF19-TCTEX1D2",8,2,0.773103015266033,"no",-0.000692045238087549,0.185499108516048,-0.144657829172608,0.0751094238305129,0,0,NA,NA,"",0.00664125227084458,0.129593810444874,517
"SLC39A4",8,2,0.773177939868787,"no",0.0231571543055949,0.171769118755222,-0.0551088273493189,0.000713243361807399,8,2,0.485372247797554,"no","",0.00202440004439541,0.0793036750483559,517
"KCNMB2",6,2,0.774548452017026,"no",0.0745354530513092,0.0838287565068532,0.151178720373601,0.007177864870277,6,2,0.224956007717679,"no","",2.46569666963251e-10,0.148936170212766,517
"ANKRD46",8,2,0.780262684224258,"no",-0.0315494820806941,0.079331379712568,0.0134382840122263,0.0202391670273563,8,2,0.415447079998636,"no","",1.39101736779859e-05,0.0406189555125725,517
"LMLN",7,2,0.781374676225389,"no",0.0355753137286546,0.0919803920504625,-0.011207791256875,0.000182201984979003,7,2,0.160757535381562,"no","",3.71948830666581e-09,0.127659574468085,517
"DCAF4L2",8,2,0.781804995565215,"no",0.0115456466899848,0.146038714725665,-0.0010887963626871,0.0818943583187921,8,2,0.489452386057675,"no","",0.112733836702576,0.0212765957446809,517
"LOC646214",7,3,0.786076834582574,"no",0.0521420224135244,0.0728629484001047,0.114908597821398,0.046537632144415,0,0,NA,NA,"",NA,0.00580270793036751,517
"BIRC3",8,2,0.786294803690305,"no",0.0209717449691262,0.0862678280425738,0.0666634540333293,0.0286979444435149,8,2,0.148837273786277,"no","CLL_Act",3.74492688759698e-05,0.0502901353965184,517
"ZBTB1",8,2,0.788124710270498,"no",0.0624247732070213,0.0805682457929636,0.0868752740410769,0.0183189867068681,8,2,0.551832851169006,"no","",3.32219403234222e-05,0.0135396518375242,517
"PRDX5",8,2,0.791681185540797,"no",-0.0955595661200803,0.11811418771323,-0.0647963182095063,0.0144539266278596,8,2,0.378221183458044,"no","",4.21712817962512e-05,0.0154738878143133,517
"MARK2",8,2,0.791796577362998,"no",-0.0852512277779892,0.171163038693303,-0.172442531353365,0.125411746886301,8,2,0.604610701412562,"no","PAAD_ambiguous",1.10762276285383e-05,0.0154738878143133,517
"PICALM",8,2,0.793174165224762,"no",-0.157663726043868,0.0660320413458785,-0.129182725555812,0.00164622799782252,8,2,0.238663064075879,"no","",1.76011064604624e-05,0.0174081237911025,517
"GHSR",7,3,0.796207901670687,"no",0.0721787701295066,0.0317124220014046,0.0573887640730284,0.0403935074248356,7,3,0.1599802384898,"no","",0.000979408089002979,0.137330754352031,517
"SKP2",8,2,0.798759187453352,"no",-0.0141399513116025,0.0881024499678416,0.134090060499035,0.122660819809924,8,2,0.555161088660264,"no","",6.13128025814047e-05,0.034816247582205,517
"DPF2",5,5,0.801297896926588,"no",0.0200718169113988,0.0942817423735303,0.0283124302824474,0.0198557784572213,5,5,0.685969287755161,"no","",0.0168372804959662,0.0406189555125725,517
"UGT3A1",8,2,0.801508074957695,"no",0.0609929932030727,0.0462403416157121,0.00841112317644935,0.071212508581629,8,2,0.797767270787473,"no","",0.130955238746863,0.034816247582205,517
"RTP1",8,2,0.804560906776204,"no",-0.130033044182576,0.0896090693562535,-0.1031719299282,0.02160048338687,8,2,0.270766235370146,"no","",0.00379410562178912,0.141199226305609,517
"CDC42BPG",7,3,0.810281046544944,"no",0.128636355495546,0.0574059468222934,0.160501458165518,0.0159350063278945,7,3,0.289835917509371,"no","",0.55055899125838,0.0406189555125725,517
"PTK2",8,2,0.810752898299972,"no",-0.114900806568713,0.125126660897784,-0.0243687764306521,0.00816966396629805,8,2,0.664342244126587,"no","",2.57808584690586e-10,0.0793036750483559,517
"PPME1",8,2,0.812841127983034,"no",-0.0945039814632473,0.137572784292405,-0.0999937221299612,0.103153685428509,8,2,0.500867031952706,"no","",3.69999777304519e-11,0.0367504835589942,517
"USP13",8,2,0.812843914494947,"no",-0.0619272236063943,0.0683141021584656,-0.0124255904608306,0.00849373603600997,8,2,0.20686923746549,"no","",1.02604493730918e-06,0.152804642166344,517
"GCLM",8,2,0.813303904996966,"no",-0.132600720705439,0.201885297107353,-0.046539575381524,0.0146681418927301,8,2,0.600424329094765,"no","",NA,0,517
"POLD3",6,3,0.813840305822371,"no",-0.0694714521132527,0.0970948647760806,0.0228309983412159,0.0488006090890898,6,3,0.500548146518312,"no","",1.43871510250486e-07,0.0309477756286267,517
"ASAP1",7,3,0.816636555714512,"no",-0.0520535651392759,0.095801289045259,-0.00205753691456844,0.10677288277773,7,3,0.0935311636341979,"no","",0.00686260799212308,0.0754352030947776,517
"VCAM1",8,2,0.831815935360318,"no",0.0875682142299193,0.118126310445904,-0.000355664130717151,0.0815100044616442,8,2,0.4217735124177,"no","",NA,0,517
"FZD4",8,2,0.832241991936382,"no",-0.105752515860072,0.0545670537715616,-0.0923120806322102,0.0429093649096028,8,2,0.188436518990628,"no","",0.0997774245675134,0.0154738878143133,517
"OTUB1",8,2,0.835308528104277,"no",0.0369173626068721,0.119696919926886,0.0743183439557426,0.0849438698111134,8,2,0.344702530780879,"no","",5.84814801242389e-07,0.0174081237911025,517
"NAA40",8,2,0.837009274483649,"no",-0.0537997641857542,0.142392486756529,-0.0685091555128577,0.00127656445076306,8,2,0.498374318450642,"no","",0.0054045659744546,0.0174081237911025,517
"CDH6",7,3,0.838775564071875,"no",-0.110107894517352,0.06818194250908,-0.0510027343504286,0.0589036657044801,7,3,0.306552634301349,"no","",0.879033914933449,0.0328820116054159,517
"ACTL6A",8,2,0.839212548370621,"no",-0.589026334742032,0.0844475952772186,-0.404627041446363,0.065873149254647,8,2,0.498952336786698,"no","",4.96090184631119e-22,0.152804642166344,517
"PSCA",8,2,0.839849948392869,"no",0.0472720403199057,0.100249629386056,0.133336220525938,0.0695108684313258,8,2,0.33542705245278,"no","",0.132017846820386,0.0812379110251451,517
"OR2AT4",7,3,0.840637827425355,"no",0.123296897749883,0.130529573414313,0.0720450356296055,0.013857133183498,7,3,0.168011222124532,"no","",NA,0.0309477756286267,517
"PAAF1",7,3,0.840815950477602,"no",0.0121014025440061,0.0731756548082922,-0.0132068876143447,0.0906660307945096,7,3,0.044302563141425,"no","",8.40751378239219e-10,0.034816247582205,517
