"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ALG8",7,0.326490584285008,"no",0.0671667969251444,0.10643529238003,7,0.999931384674288,"no","",2.14449149281634e-06,"up","","",508
"NBEA",10,0.326499132273885,"no",NA,NA,10,0.404998337579075,"no","BC_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,PAAD_ambiguous",5.54647102105556e-06,"down","","CASP8 (depleted, 2% vs 10%)",508
"FNTA",10,0.326711838985187,"no",-0.281110428875553,0.210668030568919,10,0.999999619024075,"no","",2.80717767645355e-07,"up","","CSMD3 (enriched, 7% vs 1%)",508
"GAS6",10,0.326845121076853,"no",0.0166920235059997,0.0824513995443267,10,0.291422251315772,"no","",0.0206352600151969,"up","","",508
"CSK",9,0.327394955014389,"no",0.0213963577051496,0.114603383076569,9,0.287268778795642,"no","",0.60395059482753,"down","","",508
"ZMYND12",10,0.327759936088287,"no",-0.12525556556668,0.110565508923441,10,0.0060649226187407,"no","",5.89811960666293e-09,"down","","",508
"INPP5J",10,0.327971530543909,"no",0.032216407001365,0.0402472572840004,10,5.90293404043596e-05,"yes","",0.202258463519699,"down","","",508
"TIAM2",9,0.328233353673534,"no",-0.00862374778495336,0.242496630074344,9,0.00493313381922655,"no","",0.0125259866787629,"up","","",508
"TPTE2",9,0.329565548396639,"no",0.107397023315447,0.152354727275001,9,0.999934932698714,"no","",9.8035482560566e-05,"up","","",508
"SUCLG1",10,0.330883485602816,"no",-0.0886821786439763,0.082284647020225,10,0.94718791244236,"no","",4.23191130321425e-07,"down","","",508
"ECI2",10,0.331697613821281,"no",-0.080324615079665,0.0715273054032896,10,0.0784591302319705,"no","",0.184849691608756,"down","","",508
