"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"TREM1",345,7,0.832086212753974,"no",-0.0173023811123528,0.163178382792503,-0.0263918896198707,0.259287221827139,261,5,0.472824632610151,"no","",0.015976597659766,8888
"HIVEP3",315,4,0.832090077614255,"no",-0.0690344912045295,0.173541830811908,-0.0566331893204775,0.0558547663214368,238,4,0.12075611758604,"no","",0.0145139513951395,8888
"TMEM139",336,18,0.832460717204326,"no",0.0450883499865341,0.139573546376063,0.0381068103174396,0.10995489065288,249,16,0.166459856182212,"no","",0.0112511251125113,8888
"MRGPRX1",248,20,0.832480853187679,"no",-0.122424202118284,0.300741421908932,-0.187233745226026,0.27720389009785,186,12,0.167252466600193,"no","",0.00371287128712871,8888
"MTMR11",308,29,0.832549168187251,"no",-0.121022913734889,0.275853475160491,-0.0582540560619417,0.142686230595125,235,25,0.120801851545777,"no","",0.0398289828982898,8888
"SPRR1A",330,24,0.832887620710692,"no",-0.146080523404369,0.237115824619152,-0.0931137750770923,0.127764746200947,246,20,0.584806079686474,"no","",0.0372412241224122,8888
"ADSL",334,2,0.8329237956209,"no",-0.226731432136886,0.358315359960319,-0.280159526496267,0.177081063035224,255,2,0.516476577381126,"no","",0.00405040504050405,8888
"FOXM1",324,19,0.833214544541289,"no",-0.0737545075538915,0.214942091048987,-0.0246069504006062,0.174134203710413,243,17,0.904838702048195,"no","",0.0202520252025203,8888
"FAM13B",341,3,0.833339995229906,"no",0.0175998618603209,0.157733367975911,-0.012140267344728,0.0299989712356083,260,2,0.880269019153128,"no","",0.00573807380738074,8888
"CLDN16",330,26,0.833418411118299,"no",0.0520046689333317,0.117053349446166,0.0481217495628847,0.0951095150247504,248,18,0.50245978390829,"no","",0.050967596759676,8888
"JPH2",329,15,0.833526512500532,"no",-0.220025605344157,0.203801429011502,-0.252426345490043,0.145945259897229,250,11,0.490864481096431,"no","",0.0165391539153915,8888
"SBDSP1",345,10,0.833728577731904,"no",-0.27927149242573,0.381484233534112,-0.133733398931034,0.166919674788431,0,0,NA,NA,"",0.0072007200720072,8888
"PPAT",336,10,0.833771701118746,"no",-0.00767992288707224,0.147488288818687,0.0625603232866147,0.154947848619144,253,8,0.606913362853798,"no","",0.0103510351035104,8888
"TBX1",325,27,0.833959892772598,"no",-0.100570046169735,0.205369376368282,-0.0997524512937206,0.107330946424474,242,24,0.43022602077712,"no","",0.0122637263726373,8888
"RAB27A",350,4,0.834062860084918,"no",-0.0850157196753539,0.193758162096335,-0.122357456461522,0.0775205847440645,262,4,0.0846885142564142,"no","",0.00146264626462646,8888
"CIRH1A",344,7,0.834347300678606,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.0027002700270027,8888
"LIMS3-LOC440895",342,14,0.834349719725106,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.00472547254725473,8888
"KIF24",335,2,0.834382705769279,"no",-0.128123374822446,0.222963276089132,-0.042701789142923,0.0415934689450549,249,2,0.0371006142327984,"no","",0.0129387938793879,8888
"SDC4",338,17,0.834520712198262,"no",-0.0612937663041628,0.21446526732705,-0.0588361673032564,0.142731785760672,255,13,0.532518181187636,"no","ST_LoF",0.0174392439243924,8888
"NBEAL1",327,4,0.834806828338154,"no",-0.14847065271423,0.229864045111109,-0.180588466559585,0.239731226629779,247,4,0.399397470268864,"no","",0.00652565256525653,8888
"HOXD12",346,5,0.834832786851198,"no",-0.0404930829458667,0.162240416264821,0.0313450244788119,0.05728079916168,256,7,0.147487284976181,"no","",0.00821332133213321,8888
"ABCC9",310,19,0.835390726078279,"no",0.0462945179286459,0.138433972706088,0.0406106217612992,0.0797377940274974,235,12,0.251485633649146,"no","",0.0163141314131413,8888
"C9orf24",350,3,0.835752300074723,"no",0.00373129714999269,0.165081539232566,0.141396180745501,0.136849973014658,263,3,0.122567491161758,"no","",0.0126012601260126,8888
"LOC554223",346,6,0.83587985509823,"no",-0.0165048595316412,0.164026976678492,-0.0106905349061069,0.140541763577905,0,0,NA,NA,"",0.00922592259225923,8888
"CHRM1",344,4,0.836107488402667,"no",0.0172095399986107,0.193774678259431,-0.0374246938871112,0.23592443532221,261,4,0.0165714969284221,"no","",0.00405040504050405,8888
"LTC4S",341,13,0.836236111056948,"no",0.0523644399267985,0.208375350486185,0.118207278515463,0.153791462976234,257,9,0.13020800534676,"no","",0.0112511251125113,8888
"ALX4",343,6,0.836631291953732,"no",0.0443588139364438,0.133943050969516,0.106619294301276,0.2052333242174,256,6,0.140406030441983,"no","",0.0063006300630063,8888
"NGB",346,8,0.836853106771439,"no",-0.106484860000178,0.233310237761963,-0.0532116677400312,0.161055360169347,260,8,0.060034851137687,"no","",0.00416291629162916,8888
"TBL2",338,8,0.836855382384835,"no",0.0258352664046215,0.168199989373096,0.0184976983351408,0.276668952390915,253,8,0.25081123744329,"no","",0.00855085508550855,8888
"OR11G2",336,10,0.837108650117522,"no",-0.00853532878657542,0.220489573799081,-0.000580543832057001,0.152027112529184,253,9,0.179454952500577,"no","",0.00922592259225923,8888
"OR51B2",327,5,0.837220126884481,"no",0.032691848289664,0.24675917795228,0.146302832659205,0.196646662474634,0,0,NA,NA,"",0.00112511251125113,8888
"BRDT",334,14,0.837348651451178,"no",-0.253537547797689,0.233993210623829,-0.181542269474761,0.227343069030175,247,12,0.103501601650291,"no","",0.00472547254725473,8888
"CDRT1",332,11,0.837357800823419,"no",0.0181089416844539,0.184241882575764,-0.00933823799039232,0.165251845670144,251,9,0.307608910353144,"no","",0.00483798379837984,8888
"HIST1H2BB",347,5,0.837367535497747,"no",0.0298081627388477,0.183765262457474,0.0789307164745515,0.0873688980036693,264,2,0.592648337195489,"no","",0.00933843384338434,8888
"SURF4",349,4,0.83747622494363,"no",0.0711483347643133,0.149379345696799,0.136240740827098,0.0478003200378846,264,4,0.739873589052709,"no","",0.00461296129612961,8888
"NUDT7",339,10,0.837511077730884,"no",0.0956965148876276,0.138090207422116,0.14814500338183,0.0516553788843963,257,8,0.794424783946322,"no","",0.00202520252025203,8888
"LCP1",330,4,0.837515816314888,"no",-0.00224933955361944,0.186923582059631,0.0471457078479794,0.19162906049165,256,3,0.542519682990165,"no","",0.00405040504050405,8888
"PSCA",318,39,0.837563603326249,"no",-0.0824465035272266,0.319333383047848,-0.0628021530308868,0.320534299520886,237,31,0.255085251683092,"no","",0.0614311431143114,8888
"ALDH7A1",343,3,0.83759489140408,"no",-0.0258283185860708,0.197813512067797,0.106067088253334,0.164190721064854,261,2,0.773350596400229,"no","",0.00393789378937894,8888
"GPR68",329,10,0.837804943012795,"no",0.0435471091734891,0.12802896267681,0.100004372238983,0.0488274802052348,243,9,0.296977324324298,"no","",0.00427542754275428,8888
"GSTM2",308,25,0.837895541281118,"no",0.0816252006374445,0.193177732265381,0.0925208728326286,0.183107684817423,234,22,0.115891308588479,"no","",0.00393789378937894,8888
"GSTM3",337,14,0.838303097003747,"no",0.0319785901276416,0.161394426592628,0.0877578794519026,0.154661368771321,253,11,0.487256841486746,"no","",0.00382538253825383,8888
"CNGA3",332,5,0.83855688914112,"no",0.0256843102081636,0.152511991220835,0.0916202696831756,0.0471253711043923,252,5,0.221636042584299,"no","",0.0054005400540054,8888
"CASP5",338,5,0.838577365861302,"no",0.0139292264228076,0.125711409720811,0.00929170131091245,0.120722248515309,251,5,0.144395433497192,"no","",0.00618811881188119,8888
"TTC24",325,19,0.838692531548545,"no",0.0482912165318347,0.144945883689025,0.01589494536372,0.184335438901046,245,15,0.134001158100404,"no","",0.0328532853285329,8888
"WNT7A",338,5,0.838744069639991,"no",-0.168452874689052,0.243525916012204,-0.10076603850947,0.115928529317866,255,4,0.322476192840045,"no","",0.00843834383438344,8888
"USP22",330,12,0.838872969709795,"no",0.121180418810974,0.208474523771012,0.0722229097271098,0.180481607431413,250,9,0.43938094932589,"no","",0.00945094509450945,8888
"CCNL1",321,25,0.838881224295906,"no",-0.0704321582765342,0.179723008368888,-0.0114205764807996,0.201192551583704,243,19,0.355874322033762,"no","",0.0312781278127813,8888
"T",330,3,0.839230234230444,"no",-0.0554147132589859,0.152796713512967,0.0528358251631223,0.144990536695731,0,0,NA,NA,"",0.0036003600360036,8888
"PUS7L",331,7,0.839343739955379,"no",-0.0331678586358363,0.196130914383414,-0.0637941034863622,0.257957124938299,251,4,0.303320777499565,"no","",0.00607560756075608,8888
"NFATC1",301,3,0.839362888363078,"no",-0.000555909437239426,0.15908896210892,0.00538838129983594,0.0754906499154009,224,3,0.472261506978087,"no","",0.00371287128712871,8888
"STOML3",342,7,0.839401701486203,"no",0.0612320180550131,0.129185784094424,0.0495475030171359,0.0841904488296717,259,7,0.577583986041863,"no","",0.00517551755175518,8888
"OMA1",337,9,0.839551808215919,"no",-0.0285119160297876,0.194425479767083,0.0148238384230802,0.176063163824751,257,8,0.364906385261211,"no","",0.00776327632763276,8888
"MAP1LC3A",339,18,0.839570055311645,"no",0.030757214455103,0.183787484959488,0.0273861031894215,0.215448517429769,253,14,0.423038033512829,"no","",0.016989198919892,8888
"COPS7A",343,10,0.840209776487462,"no",-0.0016550872476413,0.184219525687971,0.0275090078492016,0.136265844109913,259,8,0.895557828101073,"no","",0.0166516651665167,8888
"MAFB",345,7,0.840265126170899,"no",0.0403546590281742,0.146193273769995,-0.0031746155252229,0.150786237573774,259,6,0.78427394114631,"no","",0.0111386138613861,8888
"PHF2",332,7,0.840321528148062,"no",-0.0188794263247948,0.180771542161896,-0.0398151081166635,0.0569096135323877,250,6,0.158888939599705,"no","",0.0036003600360036,8888
"RABL3",344,6,0.840507344746928,"no",-0.0714794726316564,0.241200709578575,-0.148217973351465,0.0865915643830519,261,5,0.783850953030298,"no","",0.010013501350135,8888
"KIAA0247",344,5,0.840552939589276,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.00168766876687669,8888
"PRODH",321,20,0.840616399928871,"no",-0.124992005258742,0.241675194844427,-0.0474509334794557,0.274563354348366,244,17,0.664503042240242,"no","",0.0122637263726373,8888
"CLEC1A",337,10,0.840626499813878,"no",0.0433959896718285,0.140425467403322,0.00973565796898448,0.0766432352180839,251,9,0.642407125400903,"no","",0.0119261926192619,8888
"C1QTNF5",336,5,0.840771609221149,"no",NA,NA,NA,NA,252,5,0.2639588063657,"no","",0.0045004500450045,8888
"ABCC1",326,5,0.840777678773515,"no",0.0641606812714131,0.180251885310543,0.031919950145969,0.100807139280531,245,4,0.230373292141743,"no","",0.0106885688568857,8888
"MFRP",334,5,0.841185522711985,"no",NA,NA,NA,NA,249,5,0.0228041355995006,"no","",NA,0
"KIF21B",310,11,0.841777326377387,"no",-0.0895070348767578,0.161695357023991,0.0291274835309171,0.112946616628161,227,11,0.5859431407422,"no","",0.0220522052205221,8888
"CASP9",344,4,0.841991725176576,"no",0.0508876801012097,0.167528670805798,0.0778519802960952,0.0715073701063612,262,2,0.607460155094458,"no","",0.00506300630063006,8888
"COPS8",349,3,0.842193869509213,"no",-0.807523516985887,0.460032847209151,-0.221289876488444,0.500966515294646,264,3,0.516269784911461,"no","",0.00258775877587759,8888
"SPTY2D1",333,4,0.843022352606953,"no",0.0351622169681464,0.195935423713887,0.132426610134971,0.216509925304863,252,4,0.442735939258911,"no","",0.00337533753375338,8888
"PDE3B",324,5,0.843093933655085,"no",-0.0385543324077881,0.181312446675527,-0.0352410054031415,0.103199841249718,245,4,0.38755455400508,"no","",0.00517551755175518,8888
"E2F4",350,5,0.843149828198694,"no",-0.1777088870869,0.283265109068555,-0.0763417116186763,0.17442144311592,261,5,0.337203122981085,"no","",0.00315031503150315,8888
"KCNK13",331,11,0.843316748347102,"no",-0.0670252954419985,0.186696732452325,0.0147323270578816,0.15034037004705,248,9,0.260024492390459,"no","",0.00405040504050405,8888
