"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","DeleteriousDnDs","intogen_gene_role","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"TIAM2",324,3,0.895368016436409,"no",-0.05935849581285,0.22568304785499,-0.132897059891454,0.226715354264776,242,3,0.488337221964748,"no",0.333333333333333,"",0.00360490266762797,8322
"ARL13B",328,8,0.896019066264839,"no",-0.000832877097608061,0.164853057685735,0.00919736856841971,0.127860609952249,250,4,0.585486313611019,"no",1.28571428571429,"",0.00276375871184811,8322
"TCF20",311,10,0.896703569732468,"no",-0.0912773222303393,0.191048673821862,-0.022123433357894,0.202881598378885,241,7,0.691657054624575,"no",0.8125,"",0.00516702715693343,8322
"PCK1",297,3,0.896834243067786,"no",0.0155735772773495,0.144486625824158,-0.128573926591565,0.354754722979346,227,1,NA,NA,0.363636363636364,"",0.00252343186733958,8322
"CSMD3",227,26,0.897009550450171,"no",-0.0305957836942106,0.178220145019801,0.0138554571817616,0.152397119044255,169,17,0.428457039993661,"no",0.463768115942029,"",0.0364095169430425,8322
"VSTM2B",326,2,0.89754942910857,"no",-0.0802228623296624,0.178885043376915,-0.0042340529805635,0.107914478594159,251,0,NA,NA,0.6,"",0,8322
"DAG1",336,2,0.897647188745569,"no",0.00743935713005293,0.170838917681974,0.0664454030152857,0.0837305479029673,254,2,0.54627011999041,"no",0.428571428571429,"",0.00144196106705119,8322
"ALG10B",327,4,0.897969577002936,"no",-0.0171199065419462,0.313574432471095,0.0233960894169101,0.154096078758272,248,4,0.811061637215802,"no",0.833333333333333,"",0.00168228791155972,8322
"ELF3",334,8,0.897993462069603,"no",0.0585046570698285,0.144197019145344,0.0692264413895675,0.0949497540480804,251,4,0.612249029057944,"no",3,"BLCA_LoF,CH_LoF",0.00769045902427301,8322
"BMP4",348,3,0.898133625513705,"no",-0.0630647097725232,0.212959644880625,0.00366139751945964,0.0447523953253865,258,2,0.700118610251206,"no",1.33333333333333,"",0.000600817111271329,8322
"IRF1",347,2,0.898259868567821,"no",-0.0107938866954521,0.158713635257069,0.13641859903471,0.0693276753484051,260,1,NA,NA,1,"MM_LoF",0.00180245133381399,8322
"EPHA5",314,9,0.898340818717958,"no",0.154307901466365,0.196927965888622,0.193042418806633,0.110333934755691,239,2,0.481539851297257,"no",0.611111111111111,"",0.00865176640230714,8322
"ALDH3A2",327,3,0.898663778736747,"no",-0.0666754398243566,0.298240393995761,-0.0313320386459001,0.164768525982829,246,2,0.461532233035427,"no",1.33333333333333,"",0.00132179764479692,8322
"PRDM10",323,2,0.898893421643857,"no",-0.198431237887075,0.205991278705406,-0.0272876048381726,0.0720815314878386,246,1,NA,NA,0.375,"",0.00264359528959385,8322
"RRM2B",323,3,0.899119492971036,"no",-0.0542598763453654,0.186802458856128,-0.0644936824358646,0.206937280824253,239,2,0.568522256039047,"no",0.8,"",0.00120163422254266,8322
