"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"PLXND1",311,32,0.620294953080542,"no",-0.000537238452108907,0.153730194945154,0.00432488334410974,0.187360207932664,242,20,0.894821848738892,"no",2.78571428571429,"",0.0210285988944965,8322
"MPL",340,10,0.620479187049626,"no",9.41970709460694e-06,0.107324100894709,0.0518754999662766,0.113787037867061,259,5,0.635436788566748,"no",2.4,"",0.00781062244652728,8322
"LRRK2",289,46,0.620587298669792,"no",0.0246539300184957,0.172705996167522,-0.0102588791167985,0.148365055227308,225,28,0.560301506988918,"no",2.54545454545455,"",0.0457822638788753,8322
"TNFRSF19",339,6,0.620626283428928,"no",0.0650114216282301,0.123117288893606,0.0744737505569937,0.0858116698764613,255,4,0.602074506752979,"no",1.75,"",0.00732996875751021,8322
"GPR110",336,14,0.620653541500986,"no",NA,NA,NA,NA,0,0,NA,NA,1.875,"",0,8322
"BTBD6",329,10,0.621269877253514,"no",-0.00371215075726907,0.154810424703463,-0.0276653663271469,0.205274633647592,243,7,0.361057899752574,"no",2,"",0.0045662100456621,8322
"COL23A1",330,7,0.621327811998622,"no",0.0237165832577201,0.165382769332768,0.0441812322763961,0.181667555457501,249,4,0.390012312832569,"no",1.8,"",0.00757029560201875,8322
"JAK2",297,8,0.621551979144133,"no",-0.0469140109977042,0.164641959393828,-0.0108308670059088,0.0919853355746418,228,2,0.620487545318105,"no",5.5,"ALL_ambiguous,AML_ambiguous,BRCA_ambiguous",0.0128574861812064,8322
"SQLE",303,5,0.621882913149326,"no",0.0518240806315474,0.184516957279561,0.0698429063071944,0.164206892682814,225,3,0.587603558640648,"no",1.5,"",0.00696947849074742,8322
"ETS1",328,8,0.621999911398752,"no",0.0291602259658953,0.137575586578409,0.0285360082572348,0.0495246386743872,245,5,0.626336546849824,"no",2.5,"",0.00889209324681567,8322
"DCN",346,7,0.6224297905966,"no",0.00242038747452439,0.130217601539773,0.0090599538395344,0.0850640348775507,259,5,0.516887787709555,"no",3,"",0.00997356404710406,8322
"QRFPR",326,8,0.622610367849752,"no",0.0481344515844663,0.109275720625793,0.0608895961656412,0.0572029702686712,250,4,0.636952668864124,"no",2.75,"",0.0103340543138669,8322
"FAIM3",340,8,0.62266952565419,"no",NA,NA,NA,NA,0,0,NA,NA,1.8,"",0.00612833453496756,8322
"CNOT8",348,4,0.62293047622697,"no",0.0310076225777179,0.184943753260375,0.0290547146612637,0.214219663845743,259,4,0.340858089339028,"no",1.66666666666667,"",0.00372506608988224,8322
"ZNF367",341,7,0.623121248254403,"no",-0.101218008362322,0.223609632066592,-0.120237221003718,0.152979327149984,256,3,0.311512682785467,"no",4.5,"",0.00432588320115357,8322
"HMG20A",349,3,0.623684994319091,"no",-0.0723731374961303,0.191618658216111,-0.00783952210158251,0.116006798440932,263,2,0.107421454571305,"no",1.33333333333333,"",0.00516702715693343,8322
