"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"PKHD1",7,2,0.250055349643521,"no",-0.0618990170143186,0.201909363289,-0.105642964475299,0.082905642806324,4,1,NA,NA,"","yes",0.0763358778625954,393
"MARK3",8,2,0.254257394166073,"no",-0.125678971712525,0.336812641182697,-0.282655723216342,0.25989280699733,4,1,NA,NA,"","yes",0.00508905852417303,393
"RANBP6",7,2,0.260870720741623,"no",-0.00562675579028167,0.12552080774282,-0.0932890843036252,0.0262528610501728,3,2,0.658882987094922,"no","","yes",0.00763358778625954,393
"NBEA",8,2,0.275345052972202,"no",NA,NA,NA,NA,4,1,NA,NA,"BC_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,PAAD_ambiguous","yes",0.0229007633587786,393
"CACNA1H",8,2,0.290961940271572,"no",0.118034133572068,0.146634768233532,0.0846555919218892,0.130803147629292,5,0,NA,NA,"","yes",0.0178117048346056,393
"GAK",8,2,0.294076716133184,"no",-0.428566479630355,0.306185386527919,-0.33342599816134,0.270597037253499,3,2,0.345089946338152,"no","","yes",0.0101781170483461,393
"MYOM2",8,2,0.308985132196527,"no",0.0828480738604553,0.257598497770384,-0.0729496231079341,0.0894056974120809,5,0,NA,NA,"","yes",0.0229007633587786,393
"SPEG",5,4,0.323165398940232,"no",0.118906885905854,0.0865161930284259,0.211355567368485,0.0692051848158104,4,1,NA,NA,"","yes",0.0279898218829517,393
"ITIH4",7,2,0.343546219256838,"no",0.03570877371739,0.108649932348527,0.259324898116244,0.109835692691189,3,2,0.523847695310961,"no","","yes",0.0178117048346056,393
"MBD5",8,2,0.355143860859842,"no",-0.162475464427122,0.195584152604947,-0.074943194447446,0.216527697052432,3,2,0.442257869780914,"no","","yes",0.0203562340966921,393
"ZFHX4",8,2,0.361773172131951,"no",0.163998831695236,0.224403675836589,0.0163291509151638,0.0186868252880692,4,1,NA,NA,"","yes",0.0127226463104326,393
"MAP3K9",8,2,0.368730937080186,"no",0.262175652208617,0.290941757918927,0.15898303477789,0.0592542608054836,5,0,NA,NA,"","yes",0.0127226463104326,393
"F2RL3",7,2,0.372245106130468,"no",-0.0798319833896296,0.13640314183606,0.101634643531016,0.0174000639592397,4,1,NA,NA,"","yes",0.00508905852417303,393
"FCGBP",8,2,0.372337027228684,"no",0.108766462865613,0.22118570757419,-0.0236936808491135,0.145895869911775,0,0,NA,NA,"","yes",0.0508905852417303,393
"RALGAPA2",6,4,0.373844691742284,"no",0.116992146330403,0.261600900547118,0.0375098287599995,0.365643980079582,2,3,0.374445792522455,"no","","yes",0.0152671755725191,393
"OBSCN",8,2,0.416458330415172,"no",0.119272944156691,0.156987275593532,0.0779119998514881,0.168730406527745,5,0,NA,NA,"","yes",0.0508905852417303,393
"NEK5",7,2,0.416779293319796,"no",-0.0710555469336742,0.18036296214022,-0.19877566401741,0.0478732969782745,4,1,NA,NA,"","yes",0.00254452926208651,393
"MACF1",5,3,0.426037930688194,"no",0.0494337665975566,0.058657709450649,0.0157778781243949,0.0976900333614499,2,2,0.579754246798242,"no","","yes",0.0407124681933842,393
"NR1H4",8,2,0.44497033840488,"no",0.162918566963801,0.115380055212885,0.207079825073981,0.10673072101706,3,2,0.755475986428004,"no","","yes",0.0127226463104326,393
"SNRNP35",7,2,0.445459704006271,"no",-0.144984623805786,0.161168120742653,-0.107612532269158,0.15753328574582,3,2,0.493656962738728,"no","","yes",0.00508905852417303,393
"EPHA6",8,2,0.456087238660775,"no",NA,NA,NA,NA,4,1,NA,NA,"","yes",0.00763358778625954,393
"COL6A5",7,2,0.48412085650271,"no",0.033645371451141,0.136926527272593,0.157239957930841,0.162541528949573,0,0,NA,NA,"","yes",0.0203562340966921,393
"TCHH",7,2,0.488238708249778,"no",0.0326378158997859,0.142913891203503,0.0103252854313435,0.0507944658996522,4,1,NA,NA,"","yes",0.0432569974554707,393
"FER1L6",8,2,0.502702355025716,"no",0.0511945153721256,0.123708251136484,0.12707983408435,0.139495862475208,4,1,NA,NA,"","yes",0.0254452926208651,393
"CHRNB1",7,2,0.521076132844828,"no",-0.053084402111374,0.169266742863995,-0.215699288388321,0.028824457493373,5,0,NA,NA,"","yes",0.00254452926208651,393
"LHX8",8,2,0.536305765466441,"no",0.0521011827426043,0.278090839077798,-0.231204949570251,0.090809675463651,4,1,NA,NA,"","no",0.00254452926208651,393
"RAPGEF5",6,2,0.538233182207189,"no",-0.527520375162053,0.522189385552413,-0.289145815526189,0.0497782478112545,3,1,NA,NA,"","yes",0,393
"MYO7A",7,2,0.539769605986124,"no",-0.0989645574193566,0.170850564683911,-0.235417640619841,0.097064731891219,5,0,NA,NA,"","yes",0.0101781170483461,393
"ST18",8,2,0.547335460874995,"no",-0.0622914975296693,0.16401925952716,-0.20596776752629,0.249408165913273,3,2,0.142047416873135,"no","","yes",0.0254452926208651,393
