"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"RGPD5",11,1,0.938973495513945,"no",0.402803808045637,"down"
"TASP1",11,1,0.939179437276059,"no",0.0118289755053228,"down"
"CREB1",12,0,0.939493934297625,"no",1.37914426950502e-06,"down"
"ANKIB1",8,4,0.939499964625215,"no",0.4198825754941,"up"
"PAK3",12,0,0.940264107109968,"no",6.76290454027385e-09,"down"
"HIVEP2",6,6,0.940274935629117,"no",0.10831067069567,"down"
"DICER1",7,5,0.940344300499462,"no",0.10726838904407,"down"
"HIST3H3",11,1,0.940384731008043,"no",0.595632663729017,"up"
"DLL3",9,3,0.940486096725697,"no",0.0101142553659548,"up"
"DCAF4L2",10,2,0.94056841104035,"no",0.0116642862734519,"up"
"GP1BB",10,2,0.940618966851352,"no",NA,NA
"TMEM65",11,1,0.940942218560627,"no",1.98062065161755e-05,"up"
"MMRN1",9,3,0.941083024822667,"no",4.272973225123e-06,"down"
"SUV39H2",11,1,0.941143085201536,"no",1.14752238598395e-32,"up"
"MTF1",10,2,0.94129326962333,"no",9.1670182186133e-05,"down"
"FOXR1",10,2,0.941553366534677,"no",0.105444805727602,"up"
"TBC1D5",9,3,0.941696484827458,"no",2.38508845864708e-06,"down"
"CYP8B1",11,1,0.941865681483096,"no",8.21263187574656e-10,"up"
"WBP2",12,0,0.941998978602917,"no",0.14853929173986,"down"
"HOXC9",12,0,0.942134282353873,"no",0.0348673827745562,"up"
"SLIT1",8,4,0.942185921218814,"no",0.000259098394679286,"up"
"MARK3",9,3,0.942190040320361,"no",1.10661930906202e-06,"up"
"USP49",12,0,0.942251350073059,"no",0.652765374088844,"up"
"SALL1",7,5,0.942446656197766,"no",0.0474942671294873,"up"
"UBE2F",11,1,0.942543983342118,"no",4.84269199761669e-13,"up"
"EIF4EBP1",12,0,0.942619376168734,"no",1.42240531253449e-44,"up"
"WDR27",9,3,0.942794735079869,"no",0.474897619573136,"down"
"SLC6A15",10,2,0.942919240225472,"no",2.21384258573512e-05,"up"
