"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"SIK3",5,0.0397342468567713,"no",-0.106143004669294,0.120586974874455,2,0.664443718190164,"no","",8.01442662888028e-17,"down","BRAF (depleted, 44% vs 66%)","",492
"AMBP",5,0.0397457204966316,"no",0.0267904529772381,0.182548582455636,2,0.397504223651801,"no","",2.17768519385848e-26,"down","BRAF (depleted, 37% vs 73%), HRAS (enriched, 7% vs 2%)","",492
"DLL3",5,0.0398261061176469,"no",-0.225721910808241,0.266168197851905,2,0.501554305086128,"no","",1.66724329810956e-07,"up","BRAF (depleted, 31% vs 79%), HRAS (enriched, 7% vs 2%), NRAS (enriched, 17% vs 2%)","TG (enriched, 6% vs 1%)",492
"PRRT1",5,0.0398375998018249,"no",NA,NA,2,0.978747193094184,"no","",8.08581477411399e-09,"down","BRAF (depleted, 42% vs 68%)","",492
"HPGDS",5,0.0399641958548453,"no",0.0612869791372643,0.0250888140982508,2,0.624077558214282,"no","",1.33932332454216e-13,"up","BRAF (enriched, 76% vs 34%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 3% vs 15%)","",492
"DCAF6",5,0.0400564564766429,"no",0.00602076990684532,0.0851044269858251,2,0.0733364916476063,"no","",0.0623276057164672,"up","BRAF (enriched, 67% vs 43%)","",492
"TBC1D24",5,0.0403342039241963,"no",0.18546570620622,0.116826644198439,2,0.651146764987185,"no","",1.8820455055201e-11,"down","BRAF (depleted, 38% vs 72%), HRAS (enriched, 9% vs 0%), NRAS (enriched, 15% vs 4%)","TG (enriched, 6% vs 1%)",492
"DHRS7B",5,0.0404736217750987,"no",-0.00609106327880943,0.0878600406885922,2,0.0717564822830855,"no","",0.250998323364037,"up","BRAF (depleted, 34% vs 76%), HRAS (enriched, 9% vs 1%), NRAS (enriched, 16% vs 3%)","TG (enriched, 6% vs 1%)",492
"DRG1",5,0.0404852563284981,"no",-0.176510569788393,0.199296505673751,2,0.0347293309295567,"no","",0.733325416103299,"down","","",492
"XRCC3",5,0.0404852563284981,"no",-0.121677069264293,0.382332995305295,2,0.00162520123083346,"no","",0.322985659661967,"up","","",492
"DDRGK1",4,0.0407475561894433,"no",-0.25046294631741,0.2407617578289,1,NA,NA,"",0.00296080613844998,"up","BRAF (depleted, 49% vs 61%), HRAS (enriched, 8% vs 1%)","",492
"UTS2D",5,0.0412115411327682,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"FCGR2B",5,0.0412587331869358,"no",-0.0592214439877385,0.125109600041906,2,0.504311539741462,"no","",0.755684907862713,"down","BRAF (enriched, 68% vs 42%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 5% vs 14%)","",492
"IGSF11",5,0.0412705375619191,"no",-0.0124185785472498,0.152794228924151,2,0.749065327989031,"no","",1.35931708348446e-11,"down","BRAF (enriched, 67% vs 43%), HRAS (depleted, 1% vs 8%)","",492
"NPAS3",5,0.0412705375619191,"no",-0.117095543659348,0.0547022900828352,2,0.82244456561897,"no","",3.19303807746395e-06,"up","BRAF (enriched, 66% vs 44%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 5% vs 14%)","",492
"SLC39A10",4,0.0413452367465885,"no",-0.132680977377639,0.0382814487316124,2,0.105590798890684,"no","",1.27083654884424e-14,"up","","",492
"STX7",5,0.0413532394696294,"no",-0.119830982247507,0.0687483233484087,2,0.954578726084105,"no","",1.17162029280173e-18,"down","BRAF (enriched, 62% vs 47%), NRAS (depleted, 6% vs 13%)","",492
"CHRAC1",5,0.0414597539188246,"no",-0.132863658595273,0.155018711391508,2,0.521540085184984,"no","",1.56421588282205e-07,"down","BRAF (depleted, 45% vs 64%), NRAS (enriched, 13% vs 6%)","",492
"LOC407835",5,0.0415902187845596,"no",-0.0597009223925897,0.252406146449214,0,NA,NA,"",NA,NA,NA,NA,492
"MAP2K2",5,0.0415902187845596,"no",-0.0766369171930926,0.156775049035533,2,0.151881802128244,"no","",6.47119071383581e-08,"up","BRAF (depleted, 48% vs 62%)","",492
"HSD17B14",5,0.0417090913197829,"no",-0.118208805974301,0.145811994680737,2,0.970731129687136,"no","",0.0140876542288324,"down","HRAS (enriched, 9% vs 1%), NRAS (enriched, 14% vs 5%)","TG (enriched, 6% vs 1%)",492
"GEMIN4",4,0.0418011597566515,"no",-0.237242038135583,0.179468041370094,1,NA,NA,"",3.24600631622138e-09,"down","BRAF (enriched, 62% vs 47%)","",492
"PEX7",5,0.0418282195188788,"no",0.137360769024624,0.14688203417165,2,0.0882582268526831,"no","",0.959930883808311,"up","","",492
"MIOS",4,0.041855044577578,"no",-0.149808736471879,0.101652912900923,1,NA,NA,"",1.2367297173923e-16,"down","HRAS (depleted, 1% vs 8%), NRAS (depleted, 6% vs 13%)","",492
"RAB8B",5,0.0420432955355872,"no",-0.355482822991788,0.090737416620299,2,0.680114323435311,"no","",1.50394619528072e-08,"down","","",492
"MBP",5,0.042223160379438,"no",0.173498255490599,0.119639234806774,2,0.96458404826641,"no","",0.000378847046306191,"down","BRAF (enriched, 74% vs 36%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 4% vs 15%)","",492
"ANKRD20A4",4,0.0422744202899639,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"IL18R1",5,0.0422832437710084,"no",-0.0903090491760552,0.208334579198548,2,0.781378568495668,"no","",0.00862860748653622,"up","BRAF (enriched, 70% vs 40%), HRAS (depleted, 0% vs 9%), NRAS (depleted, 5% vs 14%)","",492
"DCAF12",5,0.0423674685282246,"no",-0.122616633677415,0.152247682883797,2,0.908221857365126,"no","",3.10649742733924e-11,"down","","",492
"DRD3",5,0.0423915559022853,"no",-0.190540182370528,0.140606888893054,2,0.621525562694723,"no","",0.040549057364318,"down","","",492
"SETD8",5,0.0425483749288073,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"PAK1",5,0.0428147539366782,"no",-0.105053642580427,0.239022315544682,2,0.559636331348579,"no","",0.00193440236576792,"down","BRAF (depleted, 41% vs 68%), HRAS (enriched, 9% vs 1%)","",492
