"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"GPR132",10,2,0.439001456005873,"no",-0.00318864778087079,0.0751895385075373,0.014123953035738,0.254486874786178,7,2,0.59870382440516,"no","","yes",NA,336
"CIT",11,2,0.458222490460111,"no",-0.0599572433838208,0.1271201049572,-0.0212870264441907,0.0635201748856677,10,1,NA,NA,"","yes",0.00595238095238095,336
"AKAP1",10,3,0.458502105482725,"no",-0.254106941808816,0.430310591620844,-0.270089305823704,0.547554772235766,8,3,0.176504713493628,"no","","yes",0.00297619047619048,336
"EHMT1",11,2,0.461795863521489,"no",-0.0789134310686658,0.128800192594635,-0.151757723324956,0.397225144443453,9,2,0.335081198687257,"no","","yes",0.00297619047619048,336
"HK3",10,2,0.467465661746482,"no",-0.059942659572003,0.130101600404677,-0.0641783004399152,0.149452374830562,8,2,0.175864196811742,"no","","yes",0.00297619047619048,336
"HIRA",9,3,0.474813526939429,"no",-0.110206919343978,0.192557029837468,0.00103383923375831,0.18738495382949,7,3,0.304906953993225,"no","","yes",0,336
"EPHB2",12,2,0.478606264289247,"no",-0.0701882029375457,0.106162483725082,-0.0382277564358861,0.0298161614963374,9,2,0.750772712676022,"no","","yes",0.00297619047619048,336
"UBA7",10,2,0.479370572526086,"no",-0.0632584627228601,0.14927541453031,-0.0265695065409541,0.0667789121524744,8,3,0.493125759140368,"no","","yes",0.00297619047619048,336
"MED13",9,2,0.481782874621139,"no",0.0789548402432071,0.159135888165132,0.152976369967719,0.0762262873589546,8,2,0.289058579394862,"no","","yes",0.0119047619047619,336
"ASXL1",11,2,0.487031922776423,"no",-0.0066118890288269,0.146164393449823,0.158082968079428,0.00399559193802049,9,2,0.515324934945853,"no","ALL_LoF,AML_LoF,BRCA_LoF,CLL_LoF,ESCA_LoF,HGG_LoF,HNSC_LoF,MBL_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF","yes",0.00595238095238095,336
"CSNK1A1L",10,2,0.488192011514471,"no",-0.184262198615944,0.237072509376932,-0.103270273138357,0.129221961529418,9,2,0.436617513261781,"no","","yes",0,336
"TFAP2C",11,2,0.503190565208944,"no",0.0198691345741705,0.0936923932942293,-0.0579823424803836,0.0327896983430559,9,2,0.493586157272276,"no","","yes",0.00297619047619048,336
"BLM",12,2,0.515075914708508,"no",-0.125354586793669,0.293866725861133,-0.251819194709667,0.0950113517607385,9,2,0.180512885906999,"no","","yes",0.0148809523809524,336
"HERC4",11,2,0.529255228950284,"no",-0.099303743268749,0.169775290487286,0.0406171348402952,0.0340022886128611,9,2,0.392558494435331,"no","","yes",0,336
"OBSCN",6,4,0.533294279481658,"no",0.0254301236246475,0.141662180239213,0.0560527372592483,0.224712128559795,5,3,0.426754629633754,"no","","yes",0.0148809523809524,336
"ITGB1",10,2,0.53488540478706,"no",0.173339517689115,0.208313342243447,0.114936205440527,0.0534654186951712,9,2,0.745409210752747,"no","","yes",0.00297619047619048,336
"POU1F1",10,3,0.536285478689454,"no",0.0551850722973896,0.118562382059586,0.0668811116753884,0.201595664116389,9,2,0.529055243266723,"no","","yes",0.00297619047619048,336
