"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"BAP1",35,0.126506813188281,"no",-0.186820496596051,0.188525271428217,26,2.32429779647853e-13,"yes","BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,ESCA_LoF,HC_LoF,MESO_LoF,NSCLC_LoF,PAAD_LoF,RCCC_LoF,RPC_LoF,UVM_LoF","","",467
"PACSIN2",33,0.126541098283296,"no",0.0542510757243159,0.157984754462462,24,0.902755096271061,"no","","","",467
"OR2T1",29,0.126590762134947,"no",0.0547272569176856,0.180623342456381,22,0.650537018308308,"no","","PIK3AP1 (enriched, 38% vs 6%), SGK223 (enriched, 38% vs 5%), STON1 (enriched, 38% vs 3%)","TP53 (enriched, 38% vs 5%)",467
"SIGLEC10",34,0.126674282019767,"no",0.0943334644804625,0.240549024859582,24,0.134834324393428,"no","","","",467
"BTN1A1",33,0.126743205762713,"no",0.112208456769186,0.169299059892075,24,0.543646558916336,"no","","","",467
"GJD4",35,0.126782563096563,"no",-0.0372495228725857,0.352601853137849,25,3.59214144379673e-05,"yes","","","",467
"ZBTB10",34,0.127305143363894,"no",-0.0457120271018574,0.228827824513404,26,0.999923897259394,"no","","","",467
"TOPORS",34,0.127595421898488,"no",-0.0953993750837205,0.171452910000602,25,0.984745074032297,"no","","","",467
"GRIK5",36,0.127630227778855,"no",0.063436413488135,0.177101058704507,26,0.64347165257126,"no","","","",467
"TREM1",35,0.1277777732915,"no",-0.0726734884466154,0.138069786215332,26,0.999975349285874,"no","","","",467
"HAND2",34,0.128054309198313,"no",0.00931572275372615,0.150279896995386,25,0.982755712312179,"no","","FAM83B (depleted, 8% vs 25%)","",467
"KLHL20",32,0.12814046225853,"no",0.0554579192148692,0.16735096758748,23,0.493376308101572,"no","","","",467
"GRID2",32,0.12826800822969,"no",-0.0511306043398351,0.0949832942535272,22,0.00164190708592622,"no","","","",467
"COL12A1",34,0.129220217093625,"no",-0.00777722136482258,0.286795642193014,25,0.995780723249199,"no","","","",467
"GTF2H3",36,0.129444178967525,"no",-0.128586024641597,0.219182191503324,26,1.2344391750467e-12,"yes","","","",467
"CHRM2",25,0.129924984743222,"no",0.0125388863482248,0.191694712008035,19,0.996195431192675,"no","","FRMD4B (enriched, 9% vs 0%)","",467
"XRCC2",32,0.129937810111401,"no",0.00470738038515287,0.158077521607701,22,1.53745435578371e-09,"yes","","","",467
"BTG1",36,0.130250402171152,"no",0.0988974923286535,0.209617300772934,26,0.00265478397922867,"no","CLL_ambiguous,DLBCL_ambiguous,LY_ambiguous,MM_ambiguous,NHLY_ambiguous","","",467
"KCTD21",34,0.130409945091025,"no",0.0202163565782609,0.18819519017344,25,0.000387179025204895,"no","","","",467
"GRIN3A",32,0.130541209543692,"no",-0.060417342855393,0.21253770712732,23,0.415963702806891,"no","","","",467
"GPR18",35,0.130733063261266,"no",0.0196157279742533,0.165446132352252,26,0.6382485668906,"no","","","",467
"SMPD3",35,0.131093804557268,"no",0.107172285100952,0.174179239758793,25,0.000638492016159956,"no","","","",467
"HOXB4",34,0.131288753186541,"no",0.0327693304748108,0.126192019826781,25,0.99879405919711,"no","","","",467
"HNRNPAB",33,0.131406887135329,"no",-0.141498496250631,0.249742484374959,25,0.826387937678543,"no","","","",467
"AHR",26,0.131601352290421,"no",-0.100764973234435,0.175246497863933,19,0.0661550658912247,"no","","","",467
"CHD2",29,0.131692610375075,"no",-0.216568870512045,0.246099506240596,22,0.387906088347082,"no","BLCA_LoF,CLL_LoF,OS_LoF,RPC_LoF","","",467
"STK16",36,0.131871368325673,"no",-0.0669292960499576,0.215035239809212,26,0.934657702532377,"no","","","",467
"EHMT1",34,0.132843574055897,"no",-0.222085374506344,0.283592717772124,26,2.43710533585061e-08,"yes","","","",467
"RDH14",35,0.133290528137324,"no",NA,NA,25,0.998352291561582,"no","","","",467
"DHX37",36,0.133338622674975,"no",-0.50099716612782,0.28926929191028,26,1.9540153484348e-18,"yes","","","",467
