"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"PLEKHH2",33,2,0.565548003400901,"no",0.0343718131286802,0.160936585213665,0.150887811858877,0.18320418624126,25,1,NA,NA,"","yes",0.0556745182012848,467
"SERPINI2",31,3,0.565696300553836,"no",0.0290710232028725,0.18670966991875,-0.0106726700896916,0.0832567541642376,23,2,0.632029195345446,"no","","no",0.0856531049250535,467
"NAMPT",30,2,0.568733093347527,"no",-0.133222834053414,0.118570678594771,-0.231218132762212,0.103642707476526,22,1,NA,NA,"","yes",0.00856531049250535,467
"INPP5J",33,2,0.568849382270986,"no",0.0248531480171758,0.170516972268866,0.0551510915388572,0.0675175911625878,24,2,0.63746915528028,"no","","yes",0.0214132762312634,467
"TAF1L",30,4,0.569811037356582,"no",-0.256702559176957,0.30954322413601,-0.21564105267469,0.26427230153646,23,3,0.662734382611283,"no","","yes",0.134903640256959,467
"ARHGEF37",32,3,0.571072707851996,"no",0.0160736055640253,0.307552785700826,0.10161549228544,0.133635801772267,25,1,NA,NA,"","yes",0.019271948608137,467
"NTRK2",33,2,0.572081473692115,"no",0.00685932479593365,0.160637500523568,0.0967640578126562,0.0538724644802079,25,1,NA,NA,"","yes",0.0321199143468951,467
"LRP2",27,6,0.572941796543995,"no",-0.0227527990888404,0.154663568991247,-0.036150284667527,0.368241555935433,20,5,0.447674730868535,"no","","yes",0.214132762312634,467
"ABCC11",33,2,0.573452925308285,"no",-0.0296299400162172,0.169434439348199,0.0278672991138812,0.0076636116270848,23,2,0.685650590127667,"no","","yes",0.0471092077087794,467
"SEMA3C",29,2,0.575085172012979,"no",-0.0509630972206186,0.129279995824183,-0.0531649621582818,0.103644092971925,22,0,NA,NA,"","yes",0.012847965738758,467
"GRM8",28,3,0.578035249043833,"no",-0.0981157543219106,0.243767052146236,-0.137206994735674,0.0536619298646804,19,3,0.815104016936046,"no","","yes",0.119914346895075,467
"HDAC5",31,3,0.57861564402853,"no",0.121595876202565,0.139408294161819,0.0935245663249261,0.0909949419021635,22,3,0.876309623325566,"no","","yes",0.019271948608137,467
"PRDM16",30,3,0.5793343643796,"no",0.00622301414196796,0.124933716483547,0.114271271688985,0.0464102400587454,23,1,NA,NA,"","yes",0.0663811563169165,467
"ADCY9",34,2,0.579923711026805,"no",0.00834292670269495,0.214515741393683,-0.0261117418585994,0.100815743422007,24,2,0.856846480422622,"no","","yes",0.0278372591006424,467
"CYP4F22",33,2,0.579998568735505,"no",-0.118137998894231,0.139371287976249,-0.0782904422020893,0.0897865634916027,24,1,NA,NA,"","yes",0.0299785867237687,467
"HPN",32,2,0.580161254200666,"no",0.147775078153887,0.313596731438973,0.304286967268302,0.0156462182044556,23,2,0.885086143989739,"no","","yes",0.0171306209850107,467
"TAF3",33,2,0.581750657167815,"no",-0.631798939026752,0.352401095501677,-0.518781866153585,0.097252580819098,24,2,0.693677150770874,"no","","yes",0.0235546038543897,467
"FZD10",33,2,0.581887377052969,"no",0.0457863296062907,0.222697494434796,-0.005823414937917,0.0670902265671024,25,1,NA,NA,"","yes",0.00642398286937901,467
"FZR1",32,2,0.58374059318961,"no",0.0034293501721367,0.256156699022819,-0.036359023553328,0.0163024969379274,24,1,NA,NA,"","yes",0.0171306209850107,467
"IL2RB",34,2,0.584325277088867,"no",0.0108156059865764,0.15457599028395,-0.122902432575887,0.00349990112202,25,1,NA,NA,"","yes",0.0364025695931477,467
"CFHR2",29,2,0.585666936526012,"no",-0.0935777437028823,0.194869125084914,-0.0729376602760219,0.0483513123759,21,1,NA,NA,"","no",0.0556745182012848,467
"SATB2",31,2,0.587595085688962,"no",-0.0323371798242423,0.13373068754088,-0.0036386126656748,0.0188982044835985,22,2,0.829194565416667,"no","","yes",0.0406852248394004,467
"GPRC6A",28,6,0.58776688366947,"no",-0.124564328679453,0.229400595370161,0.111083731013084,0.336068382174105,21,4,0.233014892262431,"no","","no",0.11134903640257,467
"P2RY12",33,2,0.587791177879706,"no",0.0642680400954084,0.110090930407812,0.0241059983100352,0.104136872806548,24,1,NA,NA,"","yes",0.019271948608137,467
"SRGAP2",32,3,0.588776114738913,"no",0.0412579658655631,0.191121635939473,0.0440169672369428,0.308049402966474,0,0,NA,NA,"","yes",0.0235546038543897,467
"DDX4",34,2,0.58893261513252,"no",-0.00551434824408073,0.189033111251951,-0.0120624571817835,0.000762396580915699,25,1,NA,NA,"","yes",0.0385438972162741,467
"ACAD11",31,2,0.59011981508588,"no",0.0559980209654447,0.167110962104282,0.0131855498455283,0.0731652353599832,23,2,0.811169498564152,"no","","yes",0.0235546038543897,467
"LRP1",32,3,0.590345697271926,"no",-0.325323702653791,0.298422087246056,-0.108576460049654,0.0341428761926555,24,2,0.525162076932845,"no","","yes",0.0899357601713062,467
"CFH",27,5,0.590557812472781,"no",0.017451195845948,0.163622676096255,-0.0288561091589131,0.280415078472134,19,4,0.540753714025718,"no","","yes",0.107066381156317,467
"TPTE2",32,3,0.591048926476966,"no",0.0999507121473313,0.224878658213534,0.062022104726225,0.215810163316782,25,1,NA,NA,"","yes",0.0813704496788009,467
"STK17B",32,3,0.592133062281151,"no",0.0410426014728887,0.141438527206309,0.20170530320526,0.0984109309326708,23,3,0.321334833251868,"no","","yes",0.00856531049250535,467
"STRN4",32,3,0.592286695206743,"no",-0.0796408498527158,0.208736674236591,-0.0588232880227924,0.203301377423244,25,1,NA,NA,"","yes",0.012847965738758,467
"PPP1R13B",31,2,0.59271513340258,"no",0.0138878762541286,0.161027887767734,0.159815249523273,0.01035678991181,23,1,NA,NA,"","yes",0.0385438972162741,467
"PIK3R5",32,3,0.592837473094526,"no",-0.0140767769764796,0.273007740991635,-0.183532556540288,0.201172107191485,23,2,0.444718248058577,"no","","yes",0.0449678800856531,467
"NAA60",32,2,0.59329024666963,"no",-0.00966166294478723,0.237799753233681,-0.0869587439601653,0.0353252563129817,23,2,0.805927863376456,"no","","yes",0.00856531049250535,467
"PDGFRA",33,2,0.594058514403365,"no",0.0928177733002664,0.27364135513101,-0.068910333728068,0.0439255921295044,24,2,0.384711288935937,"no","GBM_Act,HGG_Act,LGG_Act,LUSC_Act,PIA_Act","yes",0.0706638115631692,467
"SEMA6B",32,2,0.594062006045805,"no",-0.133323941359911,0.250012542336191,-0.009279300820665,0.103289144635966,23,2,0.221951509051154,"no","","yes",0.0149892933618844,467
"MLST8",31,3,0.59441548594803,"no",-0.1043606139381,0.245902000684887,-0.155165216092864,0.220102345439538,23,2,0.417815842832988,"no","","yes",0.00214132762312634,467
"ATG13",33,2,0.594704807329279,"no",-0.0991378679063187,0.190860041778108,-0.258177218211504,0.322210485694769,25,1,NA,NA,"","yes",0.00642398286937901,467
"MTMR4",34,2,0.594948490912804,"no",-0.0939134039816954,0.148612235994182,-0.164849534763468,0.029851110929213,25,1,NA,NA,"","yes",0.0235546038543897,467
"RIOK1",30,2,0.597664499810233,"no",-0.350846705653887,0.203644072487994,-0.264801540560432,0.180645317588616,24,1,NA,NA,"","yes",0.0149892933618844,467
"OLFML2B",29,3,0.598991348005137,"no",-0.0705448341277387,0.154262203901952,-0.153399453808723,0.0526979279170435,23,0,NA,NA,"","yes",0.0364025695931477,467
"WDTC1",33,2,0.599191635617638,"no",0.0698044123488159,0.147963373789904,-0.0204972915573287,0.0127011555324876,24,2,0.643578234816057,"no","","yes",0.012847965738758,467
"CDH12",27,3,0.599397230089527,"no",0.0912483114600707,0.132565725897637,0.108364176318691,0.0985987656597956,21,2,0.306850252498826,"no","","yes",0.0813704496788009,467
"CCKBR",33,2,0.602223312661333,"no",-0.0849576567332792,0.169197113453311,-0.153553087982289,0.024612975191088,25,1,NA,NA,"","yes",0.0299785867237687,467
"CHRM2",25,5,0.604136010091436,"no",0.0125388863482248,0.191694712008035,-0.0431713811988867,0.0410663809170234,19,3,0.263319970732124,"no","","no",0.0685224839400428,467
"PRDM14",33,2,0.605070055630265,"no",-0.00858338411267921,0.104053699325819,0.0863389414137568,0.160442836993567,25,1,NA,NA,"","no",0.0299785867237687,467
"MYOM2",30,2,0.605431145421684,"no",-0.0373995839321948,0.156803613207962,0.128468968806758,0.0426650234502142,21,2,0.310588064651801,"no","","yes",0.115631691648822,467
"OR2T8",31,2,0.605642905391261,"no",0.0139110957908214,0.258535082304242,0.251564568375419,0.0677008483882575,23,1,NA,NA,"","no",0.0299785867237687,467
"OR4N5",34,2,0.606110805624339,"no",0.0569856310963267,0.146241336946512,-0.0579779284231245,0.174348574133172,25,1,NA,NA,"","no",0.0449678800856531,467
"GABRR1",34,2,0.60752276887868,"no",0.0930278530503603,0.174887831024738,0.206405329475117,0.0197596107306755,25,1,NA,NA,"","yes",0.0149892933618844,467
"AVPR1B",32,2,0.607958637000947,"no",-0.11437355108435,0.189669643793659,-0.169338307606598,0.0705621235892263,24,1,NA,NA,"","no",0.0214132762312634,467
"CASC1",33,2,0.608246921860766,"no",0.110734331560359,0.17481533942605,0.0719542677791996,0.00593713788736021,25,1,NA,NA,"","yes",0.0171306209850107,467
"WHSC1L1",33,2,0.608369047489612,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0149892933618844,467
"NPAS3",33,2,0.608475722633169,"no",-0.0625259766071597,0.142485379634633,-0.0621206225785283,0.0916979364456436,25,1,NA,NA,"","yes",0.0513918629550321,467
"SEMA3F",32,3,0.608689903446154,"no",0.00482315859404738,0.464739422724555,-0.0353024702139978,0.125017419794104,24,2,0.306001738676852,"no","","yes",0.0449678800856531,467
"WHSC1",32,2,0.609136571527612,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0256959314775161,467
"WNT11",33,2,0.610146621088397,"no",0.0319217009407353,0.120279898174526,0.0770836821941356,0.116318111703035,25,1,NA,NA,"","yes",0.00642398286937901,467
"MYLK",32,4,0.61052175210669,"no",-0.0687546336124736,0.221790695859811,-0.0961891849819662,0.146813872603798,24,2,0.586001667300115,"no","","yes",0.109207708779443,467
"CACNA1A",29,3,0.611624017599889,"no",-0.0085934222612833,0.100033793436118,-0.0284866312950482,0.11976880761578,22,2,0.983524636377171,"no","","yes",0.0920770877944325,467
"SYK",31,3,0.613957369967358,"no",0.0884495774656404,0.153505615159584,0.120434677140403,0.114137315230745,22,2,0.681770783719858,"no","","yes",0.0385438972162741,467
"DTL",32,2,0.614745956266637,"no",-0.29658397171545,0.201875025163994,-0.231180963637143,0.065052232684889,25,0,NA,NA,"","yes",0.0321199143468951,467
"DMXL2",32,3,0.614910485758743,"no",0.0923797378343351,0.148300565510572,0.199807027860056,0.149052617015638,25,1,NA,NA,"","yes",0.0856531049250535,467
"PHACTR1",31,2,0.615216236912396,"no",0.0678281933583906,0.158279719702144,0.0704845513435851,0.0286670949608362,0,0,NA,NA,"","yes",0.0149892933618844,467
"ENPP7",31,2,0.615235296992652,"no",0.000992817842798923,0.213337103114212,0.10532561367483,0.004291074798421,24,1,NA,NA,"","yes",0.0278372591006424,467
"EPAS1",29,4,0.615424641897323,"no",-2.51830494193504e-05,0.231845552028292,0.0843139782666307,0.345106253685249,24,1,NA,NA,"BRCA_Act,PCPG_Act,SSCC_Act","yes",0.0214132762312634,467
"EP300",31,2,0.615488056091057,"no",0.092400031574475,0.450992023094233,-0.0564028120475935,0.311857946079668,22,2,0.350025537446057,"no","BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF","yes",0.0556745182012848,467
"CTBP1",32,2,0.615737358070446,"no",0.0417593012771103,0.113565267143933,0.0347914063316726,0.0833017510728694,22,2,0.657113120475223,"no","","yes",0.00428265524625268,467
"PAMR1",31,2,0.615972209306988,"no",NA,NA,NA,NA,22,2,0.468427081174592,"no","","yes",0.0492505353319058,467
"MAST4",29,7,0.616306877533647,"no",0.130918687159567,0.192387306430103,0.143540157008478,0.091334911798903,22,4,0.594523422772157,"no","","yes",0.0749464668094218,467
"EBPL",33,2,0.616724754121601,"no",-0.0047812465467454,0.164022251257594,0.0717530525018677,0.0252801719006674,25,1,NA,NA,"","yes",0.00214132762312634,467
"ARHGEF3",33,2,0.616817268836634,"no",0.058383032774756,0.157177046244479,-0.0178264086189759,0.00458772830963395,25,1,NA,NA,"","yes",0.00856531049250535,467
"ARHGEF17",29,3,0.618246211974394,"no",0.0786697294332568,0.108149201077408,0.167263433993188,0.167029646670632,22,3,0.388228128740164,"no","","yes",0.0492505353319058,467
"NID2",32,3,0.61835583552423,"no",-0.00856124902163441,0.232500400182943,-0.100557010275486,0.325963143459309,24,2,0.163913067544459,"no","","yes",0.0685224839400428,467
"PAX7",31,2,0.619003820039668,"no",-0.0495756321990973,0.150108976416924,0.148359744789507,0.0952305132045968,24,1,NA,NA,"","no",0.0299785867237687,467
"SYT4",33,2,0.620294948860437,"no",0.0848384474482464,0.117580417557761,-0.0725664221763907,0.125466832385115,26,0,NA,NA,"","no",0.0342612419700214,467
"RHOT2",31,4,0.620582431180531,"no",-0.133201276625865,0.225801325081165,-0.035668509880666,0.15933047858172,23,3,0.776312054549075,"no","","yes",0.0107066381156317,467
"PBX3",32,3,0.621474418686254,"no",0.0209429990431346,0.16263038352547,0.112800944258162,0.0658811701457606,23,3,0.248730626191869,"no","","yes",0.00856531049250535,467
"ABCC10",34,2,0.621704111227373,"no",0.00474995254995502,0.158706292462665,0.0566612930506084,0.0274554982160061,24,2,0.495280778566571,"no","","yes",0.0385438972162741,467
"KCNK5",32,3,0.621779742520443,"no",-0.0617902047622597,0.18160236432699,-0.0455555062632555,0.0214796411088219,24,2,0.672825496152201,"no","","yes",0.0449678800856531,467
"ATG9B",28,3,0.622133054539025,"no",0.0770523702179111,0.123188613345368,-0.0822787033401692,0.202778429264458,0,0,NA,NA,"","yes",0.019271948608137,467
"PLEKHG4B",29,3,0.62223118932882,"no",0.0230406883177728,0.19052654872215,0.114658666214793,0.0917163927387092,21,3,0.48655012408913,"no","","yes",0.0449678800856531,467
"GRIA1",30,4,0.622537116970927,"no",0.0199240011974632,0.139796691011843,0.0873813856069318,0.202367123137294,23,2,0.633824347579911,"no","","yes",0.124197002141328,467
"RUNX1",33,2,0.623322966818135,"no",0.117393707528321,0.149836144827978,0.133299361845624,0.0088723747259345,25,1,NA,NA,"ACY_ambiguous,ALL_ambiguous,AML_ambiguous,BRCA_ambiguous","yes",0.00642398286937901,467
"TIGIT",33,3,0.623381062907882,"no",-0.0364966573845084,0.20258699701874,0.138861030049956,0.299434022299944,24,2,0.710172977914397,"no","","yes",0.0149892933618844,467
"SEZ6L",32,2,0.623599248143374,"no",-0.0533151359111552,0.181072669411644,-0.132412158120257,0.127654994777718,22,2,0.681349970138685,"no","","yes",0.11134903640257,467
"CNGA1",33,3,0.624024382034522,"no",-0.100862087236728,0.250199929723876,-0.175841382510355,0.108252572039677,24,2,0.456987656258803,"no","","yes",0.0471092077087794,467
