"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"OSBPL1A",10,0.162897207858913,"no",-0.0131122219855924,0.23196566947107,8,0.186080487758811,"no","","","",434
"UBE2H",12,0.163033691209462,"no",-0.0578794017674666,0.18704587139864,8,9.89605603662963e-05,"yes","","","",434
"LOC375295",12,0.163290749640877,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"SSH2",15,0.163391737665339,"no",-0.0851067667257508,0.237416345373271,9,0.00163766380661093,"no","","","",434
"DAG1",14,0.163583975075787,"no",-0.0390858888862876,0.156473181219145,9,0.996641424471979,"no","","","",434
"DAZAP1",10,0.163784278332586,"no",-0.221079847713172,0.332103435870215,9,0.0117199863264634,"no","DLBCL_LoF","","",434
"XRRA1",12,0.164135049229287,"no",-0.664654621055604,0.327536584336122,7,0.05217963870246,"no","","","",434
"DMRTA1",11,0.164140678587812,"no",-0.00151301237786644,0.145554755198965,7,0.941294067482601,"no","","","",434
"LRRC30",14,0.164253430913291,"no",-0.0321207772017569,0.0979838325076832,9,0.894268984758145,"no","","","",434
"SREBF2",11,0.164273175180772,"no",-0.0166614556460849,0.164245913776622,8,0.613241953106582,"no","","","",434
"JAM3",13,0.164467128324929,"no",0.001668301939428,0.12013423875703,9,0.999999996780404,"no","","","",434
"ARHGAP19",14,0.164710164998574,"no",-0.03322214906683,0.0864976959954559,9,0.777387205595023,"no","","","",434
"ARHGAP19-SLIT1",14,0.164710164998574,"no",-0.0363409999781231,0.187533751887597,0,NA,NA,"","","",434
"LIG1",14,0.16492495427775,"no",-0.195604523328092,0.146033456686089,9,0.000124614168955024,"yes","","","",434
"MAMDC4",14,0.164935667769842,"no",0.0326122635043865,0.124815276216498,9,0.999956459728041,"no","","","",434
"KLHL3",13,0.165088526083878,"no",-0.00356358811815946,0.112811094203466,8,0.0724295287361874,"no","","","",434
"KPNA7",13,0.165543769190974,"no",0.0669719664297552,0.157430897520725,9,0.118771008241498,"no","","","",434
"FAF2",12,0.165576950259336,"no",-0.0351725046500277,0.143309724921525,9,1.26937773791443e-06,"yes","","","",434
"GSTT2",13,0.165595988374475,"no",NA,NA,0,NA,NA,"","","",434
"GSTT2B",13,0.165595988374475,"no",NA,NA,8,0.969577515427005,"no","","","",434
"DDX4",14,0.165656064935853,"no",-0.0796656985035568,0.175148663577971,9,0.923526838890026,"no","","","",434
"LRFN2",11,0.166000934749001,"no",-0.0485168341061302,0.22327959194234,8,0.999999964973647,"no","","","",434
"GCLM",12,0.166072582214565,"no",-0.0473826534657162,0.0312213598692695,7,0.871686472515686,"no","","","CDK12 (enriched, 7% vs 0%)",434
"BIRC2",11,0.166712143120911,"no",-0.148461597568955,0.202528061699449,8,0.0130825291492371,"no","","","",434
"ZNF180",15,0.166881548474329,"no",0.00126905301656997,0.0889623123976704,9,0.764490644433442,"no","","","",434
