"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"USP33",11,0.000100507736695454,"yes",0.0506728417994493,0.137553095411171,7,0.986913142210848,"no","","","",434
"ERCC5",15,0.000104477960731764,"yes",-0.0388249676439311,0.127716767872665,9,0.409107661693771,"no","","","",434
"IMPDH1",13,0.000123587052685448,"yes",-0.101237113382105,0.206111543814345,7,0.997379633994008,"no","","","",434
"NADSYN1",13,0.000231737174285707,"no",0.0350453820967073,0.240425909277704,8,0.0838262769940353,"no","","","",434
"ARL5B",15,0.000264198313465691,"no",0.036004127934432,0.234248664986811,9,0.00376847744160569,"no","","","",434
"ZBTB6",14,0.000325079688750285,"no",0.138810308005636,0.243870567546967,8,0.748556678612537,"no","","","",434
"CSDE1",12,0.000356807354606858,"no",0.229956594921184,0.210173016257967,9,0.922970743304059,"no","","","",434
"YWHAE",13,0.000374504971154765,"no",0.0548066857020811,0.172680055285906,8,0.77784761054764,"no","","","",434
"TOP2B",13,0.000506187758178234,"no",0.0297906041630346,0.17928579418892,8,0.281027990419014,"no","","","",434
"SAFB",13,0.000528305544660546,"no",0.0150733678360016,0.191409052073875,8,0.732417849882471,"no","","","",434
"KIAA1324",12,0.000613153354336538,"no",-0.0449880883124162,0.154397589676103,7,0.000142299588634875,"yes","","","",434
"RBPJ",12,0.000808220632438905,"no",0.0122422002939654,0.0774559719067573,9,0.567476803158316,"no","","","",434
"ANK3",13,0.000858016341143131,"no",0.174372183479644,0.243343568573468,8,0.0417914833286616,"no","","","",434
"PSCA",9,0.00090353661233078,"no",-0.0327566742338846,0.204879730681044,5,0.000367154918819668,"no","","","",434
"ADSL",15,0.000940507944661939,"no",-0.186332137622085,0.207204369784226,9,0.999999955152217,"no","","","",434
"SH2D1B",12,0.00105587774813443,"no",-0.0247640152778183,0.154365520617662,7,0.697130850902528,"no","","","",434
"GCAT",15,0.00110667042068546,"no",-0.0998753326534382,0.122529468043452,9,0.116984900370506,"no","","","",434
"WDR25",11,0.00112122199028963,"no",0.109253788179858,0.1117032270868,8,0.999998662535934,"no","","","",434
"CFB",15,0.00115842002358846,"no",-0.000664768418947406,0.084887887714763,9,0.999156514672217,"no","","","",434
"MLF2",9,0.00118601201641311,"no",-0.149307115008256,0.210467556431751,6,0.909084142793084,"no","","","",434
"LIG4",15,0.00120660764743419,"no",-0.137142482511784,0.188277513454051,9,0.94201990831838,"no","","","",434
"AK4",12,0.00127674550325241,"no",0.119485867196233,0.263715770015821,7,0.995935517870384,"no","","","",434
"CLTA",12,0.00131289260114065,"no",0.115644535461114,0.112043199374473,9,0.000320615615826858,"no","","","",434
"SOCS7",14,0.00137905711183317,"no",0.100845287207141,0.0932876603632521,9,0.733084998265702,"no","","","",434
"RCBTB2",12,0.00145581624885616,"no",0.271029614630448,0.206426274322089,9,0.95341934228734,"no","","","",434
"SRSF12",13,0.00151469206764365,"no",-0.090040880967905,0.123454887341097,9,0.100912834718423,"no","","","",434
"CXCL5",14,0.00160644040022306,"no",0.100382236338897,0.0718485232425228,9,0.158420130025516,"no","","","",434
"RUFY3",12,0.00194091912375061,"no",-0.0236658925653456,0.14372032347646,9,0.0504962198802275,"no","","","",434
"BTBD18",14,0.00204998557468006,"no",0.0615429151979847,0.141625621940787,9,0.208289759835282,"no","","","",434
"HOXA2",12,0.00205744958262433,"no",-0.149142648642858,0.457376810262107,9,0.000195453881656538,"no","","","",434
"RAPGEF6",10,0.00209902977820942,"no",0.0156898322686179,0.201144395734634,8,0.29255097594537,"no","","","",434
"DLST",12,0.00210899410685461,"no",-0.0396817505697204,0.158163480527961,9,0.985544631789023,"no","","","",434
"EGLN2",14,0.00216021754091711,"no",-0.00559063949555917,0.261727087851655,9,0.999990336455679,"no","","","",434
"KRAS",9,0.00226869699204124,"no",-0.0605266550156529,0.115610574992751,7,0.97664440328344,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act","","",434
"RERGL",11,0.00232753361225424,"no",0.120480227902647,0.185150667818019,7,4.09748173616498e-05,"yes","","","",434
"MAPK15",8,0.0023629921060021,"no",0.0464135995036088,0.116508499936681,4,0.983486360182583,"no","","","",434
"MCF2L",12,0.00275418213433432,"no",0.0265478213930023,0.116012024896515,9,0.0246180805048364,"no","","","",434
"PA2G4P4",11,0.00278825130722293,"no",0.0719618991331233,0.231376655611197,0,NA,NA,"","","",434
"HOXA6",12,0.00286562993045669,"no",0.0709459993690364,0.132272639057769,9,0.924050943006563,"no","","","",434
"WDR27",9,0.00289459908972944,"no",0.066059347717784,0.120673570867518,7,0.269303992747121,"no","","","",434
"STRAP",9,0.00293538676157912,"no",0.0959852278805629,0.184592699925392,7,0.999996800123898,"no","","","",434
"DSG1",13,0.00306164749261584,"no",-0.00552266624461672,0.119814955318948,8,0.0204938463203415,"no","","","",434
"FOXI2",11,0.00315810152925022,"no",0.0469796152331778,0.071542174423864,9,0.0334343211803411,"no","","","",434
"CDRT1",11,0.00333422664318495,"no",0.0647647154278033,0.24020132930201,9,0.476919689197675,"no","","","",434
"FBXW10",11,0.00333422664318495,"no",0.152151899166452,0.109755713506928,9,0.00259546618849649,"no","","","",434
"TGFB2",12,0.0033750551431222,"no",0.0509062676398912,0.17431029894109,7,0.0080977957762256,"no","","","",434
"WDR88",10,0.00341905387431096,"no",0.0850932512209585,0.128120285165617,9,0.999969100799748,"no","","","",434
"GJA4",12,0.00348626190923085,"no",0.0518832129982016,0.116118379588109,8,0.0755184808631713,"no","","","",434
"FOXK1",9,0.0035219861084369,"no",0.0853810688662066,0.0583389579061875,8,0.503562549890559,"no","","","",434
"GABRR2",13,0.00396021011228076,"no",-0.0329061536055661,0.148831560677933,9,0.762354170468605,"no","","","BRCA1 (depleted, 1% vs 9%)",434
"GTF3A",11,0.00410222059224963,"no",0.0417813436982768,0.122974448714044,8,0.999999999575314,"no","","","",434
"BRDT",11,0.00415575769115073,"no",-0.252491538195277,0.199919293755321,8,0.727785700773434,"no","","","",434
"KHSRP",14,0.00421321745023584,"no",-0.1087675754472,0.199469928166728,9,0.912544839130504,"no","","","",434
"CCNT1",13,0.00421467175506729,"no",-0.0446646234650501,0.181168220197616,8,0.918537547967682,"no","","","",434
"ELOVL2",13,0.00424567711696378,"no",0.100901988515262,0.165800515430876,9,0.896425811660425,"no","","","",434
"VAV1",11,0.00426191341549131,"no",0.136399243616582,0.175149948922293,9,0.960612826195454,"no","PAAD_Act","","",434
"SDK1",10,0.00428263188706135,"no",0.126589884423901,0.122597596410953,8,0.0197678374407589,"no","","","",434
"TPM4",15,0.00433744980206474,"no",-0.00810482751151302,0.24862816105165,9,0.99999594015111,"no","","","",434
"CP",12,0.00436789466562537,"no",0.0600690643960917,0.148314088594395,8,1.43642990757531e-06,"yes","","","",434
"OVOL1",11,0.00462395736447796,"no",-0.024943363418604,0.127722944544268,8,0.00145845874647421,"no","","","",434
"ABCB10",13,0.00488758416291379,"no",0.0584485277280895,0.156817257769878,8,0.999946365334505,"no","","","",434
"ROS1",12,0.00493992569389667,"no",0.0133657926417439,0.132066950164674,8,2.29000857777661e-05,"yes","","","",434
"SVEP1",13,0.00522836735689813,"no",-0.0846704424729181,0.0415419762840094,7,0.33949213873034,"no","","","",434
"SLC22A17",15,0.00562321070323479,"no",0.0732872401580447,0.142145210962122,9,0.99768112721306,"no","","","",434
"FGL2",10,0.00564498074188569,"no",-0.0469547833245567,0.0969695580003348,8,0.109864780490183,"no","","","",434
"F2RL3",15,0.00574681013150435,"no",0.0246011427749259,0.148461655039016,9,4.16384803281211e-06,"yes","","","",434
"ATP1A2",12,0.00602215912362813,"no",-0.0384684526797315,0.105157512854582,7,5.74125721480856e-05,"yes","","","",434
"KLF15",12,0.00602746179236568,"no",0.129733403255196,0.127230911028126,9,0.24598190671252,"no","","","",434
"DPYD",12,0.00620037825310116,"no",0.0689495542495527,0.138500678554825,7,0.888717944902901,"no","","","",434
"CHKB",13,0.00620587041327381,"no",NA,NA,8,0.890014719415058,"no","","","",434
"UNC5C",12,0.00639479310234603,"no",-0.00455017772774895,0.110787596692589,7,0.00079242117196443,"no","","","",434
"SCD",14,0.00643902936315333,"no",-0.00357369133125025,0.126627802974442,9,0.99972355082982,"no","","","",434
"PWWP2B",10,0.00650860108692575,"no",0.0515065750715285,0.271888719413423,9,0.0303635181631076,"no","","","",434
"PMS1",12,0.00655454295278368,"no",0.0367429306567476,0.102611223872565,7,0.209394348028141,"no","","","",434
"EML6",11,0.00668007977193341,"no",0.0519816389418108,0.190215625243662,8,0.997922480997585,"no","","","",434
"CELF6",13,0.00696275060791096,"no",0.025424321045106,0.125239054747857,8,0.369045742068609,"no","","","TP53 (depleted, 29% vs 46%)",434
"APPBP2",13,0.0070786574011219,"no",0.0663332397923259,0.147305488638099,8,0.0711555504238605,"no","","","",434
"NRG1",13,0.00710777725548473,"no",0.00280446461279568,0.188931793154339,8,3.82591403003119e-10,"yes","ST_Act","","",434
"ATF1",12,0.00737876018419248,"no",-0.0317989645935414,0.116566272181826,9,0.981794917561548,"no","","","",434
"RASD1",13,0.00744159993815519,"no",-0.0326036404794513,0.12828954446552,9,0.914333712790564,"no","","","",434
"MPP7",14,0.00763266133227969,"no",-0.0192451280286243,0.148888769300147,8,0.00771966300461024,"no","","","",434
"TP63",10,0.00773916042001266,"no",-0.00513585740051722,0.202180874319137,6,0.330216411962625,"no","BLCA_ambiguous,HNSC_ambiguous,NB_ambiguous,UCEC_ambiguous","","",434
"C17orf99",12,0.00788660049103596,"no",0.098197517609753,0.096967387958566,9,0.699626110051612,"no","","","",434
"TPM3",13,0.00819172745267061,"no",0.117147510434496,0.304484017894164,7,0.982757653419319,"no","","","",434
"CHML",13,0.00834313853742474,"no",0.0223076644833653,0.142270268689658,8,0.11103343242758,"no","","","",434
"HCAR1",14,0.00845689990453913,"no",0.0340444687740995,0.138911889211668,9,0.987157733537844,"no","","","",434
"CMTM5",15,0.00859817559031373,"no",0.0778746389488558,0.0922619955260601,9,0.959544566315627,"no","","","",434
"VANGL1",14,0.00877008390037171,"no",-0.0010349946912647,0.212287446675735,8,0.9197976130522,"no","","","",434
"EPHB4",12,0.00880840176166087,"no",-0.00190306600584648,0.156071708631813,8,0.00110846310302382,"no","","","",434
"LRRC33",11,0.00882047426431831,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"PPIG",13,0.00883131684356042,"no",-0.0808570317088806,0.125052666601436,7,0.101653153295375,"no","","","",434
"SYNCRIP",13,0.00904166838827303,"no",0.0298770304608953,0.231890622499777,9,0.987029292047222,"no","","","",434
"CD84",12,0.00921812499857577,"no",-0.0218500503747869,0.12268538577181,7,0.000703433117862695,"no","","","",434
"PHOX2B",12,0.00935665352347936,"no",-0.0563307902906413,0.113531844416506,9,0.000781788573355202,"no","","","",434
"PSAT1",14,0.00942524969699488,"no",-0.151137536221004,0.152177691473623,9,0.999999014116358,"no","","","",434
"RBPJL",12,0.00958237850906352,"no",-0.0309580581233582,0.136101783159592,9,0.935362869124767,"no","","","",434
"ARL11",14,0.00958856987935974,"no",-0.364763697886945,0.148768171105153,9,0.394370100422764,"no","","","",434
"ELAVL1",14,0.00961883092920779,"no",-0.0401424086357972,0.219166590644237,9,0.999770434747049,"no","","","",434
"MIB1",15,0.00963756946389194,"no",-0.0171789750081129,0.0704369173699556,9,0.929450661357713,"no","","","",434
"ANKFY1",14,0.00967354547593757,"no",-0.0414941027197206,0.181049957626413,9,0.57333623256535,"no","","","",434
"ADCY7",14,0.00981930074379644,"no",-0.031427510428433,0.129460207036268,9,2.20887333657327e-06,"yes","","","",434
"S100A9",12,0.0101274954367024,"no",-0.102994353293015,0.113794871530463,7,0.650199034850791,"no","","","",434
"OGDH",15,0.0102811604295763,"no",-0.154352177913277,0.201929287160993,9,0.998844341507134,"no","","","",434
"PROM1",11,0.0103054492346698,"no",0.063348870952255,0.105486524027341,8,2.37988630480412e-06,"yes","","","",434
"CHKB-CPT1B",14,0.010308700027568,"no",NA,NA,0,NA,NA,"","","",434
"NR1H3",10,0.0103394870109791,"no",-0.00523939003771074,0.136352169077319,8,0.000130055540017882,"yes","","","",434
"DHRS7",14,0.0103609143651081,"no",0.0165638188111957,0.115489071533421,8,0.243826639425863,"no","","","",434
