"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"AKR1B1",25,3,0.18660457029046,"no",-0.0987962886779924,0.117120778406017,-0.0672932196621666,0.12578506424748,16,3,0.583976701570591,"no","",0.372557978674158,0.00782778864970646,511
"NUDT17",22,5,0.187832349802075,"no",-0.0138082594963817,0.131730546972248,0.00343839248477446,0.0221079518153878,14,4,0.480700722741302,"no","",6.33409804393393e-05,0.0919765166340509,511
"JHDM1D",26,2,0.188202072397294,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"ARNT",24,4,0.188233562232819,"no",0.0846251716503766,0.152515594796066,-0.017348887070851,0.162737366570598,15,4,0.0147080834031985,"no","",1.53843017966829e-13,0.107632093933464,511
"ATG9B",22,2,0.188499713805188,"no",-0.0350465701129559,0.0769719883560741,-0.106039155721657,0.105605852233024,0,0,NA,NA,"",0.00605555124742527,0.0176125244618395,511
"IDO2",26,2,0.188850992504505,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.854295099547412,0.0352250489236791,511
"CYP46A1",22,5,0.190162813132272,"no",0.00653274096495335,0.113482247418976,-0.0756836033497864,0.185334983734043,13,5,0.0898239058782665,"no","",NA,0.00195694716242661,511
"TM4SF19",26,2,0.190476778879161,"no",0.095908422456931,0.240768550746349,-0.0802728839615413,0.128713914331136,18,1,NA,NA,"",0.0234963175681889,0.0195694716242661,511
"TM4SF19-TCTEX1D2",26,2,0.190476778879161,"no",0.0334609484876043,0.331217944498909,0.137891658804162,0.184742209760645,0,0,NA,NA,"",0.00788453105668807,0.0195694716242661,511
"GP5",26,2,0.19183320388645,"no",-0.230451995329024,0.271515874816179,-0.757274175805261,0.387529250732339,18,1,NA,NA,"",0.13003873685387,0.0195694716242661,511
"HOXA4",24,2,0.193074798851633,"no",0.114209165980154,0.145522422440808,-0.137536298270934,0.127775265517117,15,2,0.22862305114076,"no","",0.630455110359371,0.0176125244618395,511
"EPHB4",25,2,0.193444752902406,"no",-0.0485627662820952,0.181295240979979,-0.197234591803166,0.028975248271051,16,2,0.677327585089784,"no","",0.0002360742572205,0.0215264187866928,511
"PRMT6",24,3,0.193497509313266,"no",-0.0191320167868115,0.261506918002561,-0.00899038931158043,0.0267063562493323,15,3,0.805014209014712,"no","",NA,0.00195694716242661,511
"MTA1",24,2,0.194222340134948,"no",0.0468519924911489,0.0877375615923715,-0.0509942743419633,0.0545147443366527,15,2,0.205947679148921,"no","",0.00240768299988211,0.00782778864970646,511
"HOXC5",26,2,0.194681740851195,"no",-0.0558754288775933,0.152805861733497,-0.0461931743245023,0.0632723774516497,18,1,NA,NA,"",0.135949648763147,0.00978473581213307,511
"NOV",25,2,0.194773520219531,"no",0.00839432343046459,0.159101088430745,0.0855042188560993,0.0337096225427057,17,2,0.339395184591275,"no","",NA,0.0371819960861057,511
"TRIP11",25,2,0.195607038721616,"no",-0.0113402516400249,0.186615234545912,-0.0239822950702955,0.0150151853227833,16,2,0.516713725219676,"no","BLCA_Act",0.00178012170798624,0.00587084148727984,511
"PFKFB3",22,2,0.195686184799464,"no",0.00871609564278968,0.15011743366622,0.0367276649274104,0.0844052344032405,14,2,0.597720589318597,"no","",0.217938474429536,0.00782778864970646,511
"KCNA3",23,3,0.196074423892361,"no",-0.0916468728510065,0.22229317940286,-0.0956208088446198,0.056421755640935,14,3,0.664020598984096,"no","",NA,0,511
"ALDH1A3",24,4,0.196568714068165,"no",-0.126939741733741,0.214396400603567,-0.144298101414567,0.13435627527627,16,3,0.838374853239628,"no","",0.0850125632650851,0.00978473581213307,511
"BRD7",25,2,0.197044042676289,"no",-0.0805149830288137,0.172812409652775,-0.0991538669896293,0.100438944631119,17,2,0.304674664746969,"no","CM_LoF,HC_LoF",1.90335243867816e-05,0.0117416829745597,511
"PARP16",26,2,0.197709374449936,"no",-0.131554291388357,0.141956302313227,-0.0402950580961672,0.00281221881241035,17,2,0.368473229778691,"no","",NA,0,511
"BCL11B",22,3,0.197915218599733,"no",0.00342952253517806,0.0962376913534051,-0.0899908943886959,0.0691759226660568,14,3,0.255261410487446,"no","DLBCL_Act,GBM_Act,PAAD_Act,VV_Act",NA,0.00195694716242661,511
"USP35",24,3,0.198221997096394,"no",-0.193017282893158,0.309710373231719,-0.183214126686138,0.197038698820103,16,2,0.392090317868269,"no","",0.000221917549998156,0.0332681017612524,511
"GNB2",25,3,0.198251417155468,"no",0.0545731690305187,0.153534465622669,0.0234266672131015,0.0922360196031165,16,3,0.448906034545367,"no","",5.94892594223731e-09,0.0234833659491194,511
