"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"PDE3A",7,2,0.577734871756897,"no",-0.0925622326537338,0.147822169164759,-0.0428721488434162,0.129507725389288,6,2,0.655276913463997,"no","",0.510438415723496,0.0246406570841889,487
"CACNA2D1",8,2,0.580155522115608,"no",-0.062809901926156,0.147025791709229,-0.031680544287239,0.143916896437437,7,2,0.127297490249148,"no","",0.0569394444521196,0.0225872689938398,487
"C3orf43",5,5,0.580835332181173,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.301848049281314,487
"GJC3",8,2,0.583187511447017,"no",-0.187280637671299,0.267372292057436,-0.172176187479035,0.119350429015028,7,2,0.292709485611252,"no","",0.282226477965533,0.0369609856262834,487
"ARPC1A",8,2,0.595148375130184,"no",NA,NA,NA,NA,7,2,0.539595391777406,"no","",2.02390897440924e-09,0.0390143737166324,487
"GPRC5A",8,2,0.596177926749823,"no",0.0756231472951397,0.0945751937456658,0.0752254947649569,0.0245666224327477,7,2,0.638935822764342,"no","",0.640503231445095,0.0123203285420945,487
"OLR1",8,2,0.596847585614163,"no",0.0509537337495951,0.0999713051529054,-0.00267517116681949,0.00346953552953182,7,2,0.34947135468911,"no","",0.246054663679873,0.0184804928131417,487
"GRIN2B",6,2,0.597843906594698,"no",-0.113131084716597,0.134296962613637,-0.112763730648816,0.0662212095939513,5,2,0.890083585096328,"no","",0.387211792447123,0.0102669404517454,487
"PAX9",7,2,0.607581841055477,"no",-0.137803506304254,0.202487206129358,-0.0062719026941673,0.0537539819986546,6,2,0.0308110791589668,"no","",0.000106627262158342,0.026694045174538,487
"CYP3A4",7,2,0.607847001942071,"no",-0.0675602931100196,0.0957708017731529,-0.141099028511645,0.0437833218435615,6,2,0.204648512350838,"no","",0.0935497630562434,0.0369609856262834,487
